layer_type,layer_index,subset,probe_site,property,probe_type,balanced_accuracy,balanced_std,accuracy,std,control_balanced_accuracy,control_balanced_std,selectivity,control_accuracy,control_std,selectivity_raw,control_mode,n_controls,chance,majority_baseline,n_classes,n_samples
encoder,0,all,content-pool,stem_final_match,linear,0.626657,0.148442,0.795546,0.068383,0.500275,0.000653,0.126382,0.864710,0.009877,-0.069164,sample,5,0.500000,0.876377,2,43560
encoder,0,all,content-pool,conjugation,linear,0.469707,0.255512,0.712937,0.101155,0.355842,0.066892,0.113865,0.674925,0.044050,0.038012,group,5,0.333333,0.819444,3,43560
encoder,0,all,content-pool,l_shaped,linear,0.633817,0.231116,0.839043,0.081982,0.479707,0.069604,0.154109,0.766347,0.047251,0.072696,group,5,0.500000,0.893939,2,43560
encoder,1,all,content-pool,stem_final_match,linear,0.638636,0.130723,0.805250,0.044127,0.499835,0.000149,0.138801,0.875654,0.000609,-0.070404,sample,5,0.500000,0.876377,2,43560
encoder,1,all,content-pool,conjugation,linear,0.460921,0.264400,0.707992,0.116426,0.348176,0.068057,0.112745,0.689186,0.045785,0.018806,group,5,0.333333,0.819444,3,43560
encoder,1,all,content-pool,l_shaped,linear,0.695480,0.237576,0.840976,0.106572,0.525110,0.097321,0.170369,0.776672,0.050094,0.064304,group,5,0.500000,0.893939,2,43560
encoder,2,all,content-pool,stem_final_match,linear,0.623895,0.135168,0.838148,0.025004,0.499990,0.000015,0.123906,0.876362,0.000028,-0.038214,sample,5,0.500000,0.876377,2,43560
encoder,2,all,content-pool,conjugation,linear,0.393623,0.231719,0.687581,0.116507,0.317908,0.046426,0.075715,0.676379,0.028463,0.011201,group,5,0.333333,0.819444,3,43560
encoder,2,all,content-pool,l_shaped,linear,0.687229,0.240120,0.842662,0.116843,0.456739,0.046492,0.230490,0.763183,0.046955,0.079480,group,5,0.500000,0.893939,2,43560
encoder,3,all,content-pool,stem_final_match,linear,0.612252,0.127446,0.806880,0.036986,0.500000,0.000000,0.112252,0.876382,0.000004,-0.069502,sample,5,0.500000,0.876377,2,43560
encoder,3,all,content-pool,conjugation,linear,0.405768,0.264854,0.703285,0.105504,0.349039,0.057291,0.056729,0.703833,0.039128,-0.000547,group,5,0.333333,0.819444,3,43560
encoder,3,all,content-pool,l_shaped,linear,0.663864,0.229902,0.832729,0.114671,0.496705,0.057611,0.167159,0.803695,0.040707,0.029034,group,5,0.500000,0.893939,2,43560
decoder,0,all,content-pool,stem_final_match,linear,0.696123,0.090347,0.854777,0.066271,0.500919,0.000912,0.195205,0.870671,0.006203,-0.015894,sample,5,0.500000,0.876377,2,43560
decoder,0,all,content-pool,conjugation,linear,0.439536,0.274075,0.770488,0.107298,0.319600,0.056796,0.119936,0.674667,0.031190,0.095821,group,5,0.333333,0.819444,3,43560
decoder,0,all,content-pool,l_shaped,linear,0.700801,0.219504,0.867566,0.066994,0.546547,0.092281,0.154254,0.838614,0.017986,0.028952,group,5,0.500000,0.893939,2,43560
decoder,1,all,content-pool,stem_final_match,linear,0.700334,0.084907,0.830620,0.083332,0.499920,0.000208,0.200414,0.875515,0.000964,-0.044895,sample,5,0.500000,0.876377,2,43560
decoder,1,all,content-pool,conjugation,linear,0.429039,0.242834,0.743478,0.086188,0.285703,0.016362,0.143336,0.665712,0.016823,0.077767,group,5,0.333333,0.819444,3,43560
decoder,1,all,content-pool,l_shaped,linear,0.655884,0.204447,0.836066,0.085709,0.506810,0.087669,0.149074,0.780555,0.037230,0.055511,group,5,0.500000,0.893939,2,43560
decoder,2,all,content-pool,stem_final_match,linear,0.671094,0.069052,0.819211,0.086151,0.499828,0.000292,0.171266,0.873883,0.003632,-0.054672,sample,5,0.500000,0.876377,2,43560
decoder,2,all,content-pool,conjugation,linear,0.416298,0.252856,0.711101,0.091300,0.318179,0.016049,0.098119,0.695197,0.029824,0.015904,group,5,0.333333,0.819444,3,43560
decoder,2,all,content-pool,l_shaped,linear,0.670108,0.217097,0.833363,0.116282,0.569680,0.076344,0.100428,0.818774,0.031544,0.014590,group,5,0.500000,0.893939,2,43560
decoder,3,all,content-pool,stem_final_match,linear,0.740507,0.031999,0.855755,0.082741,0.500000,0.000000,0.240507,0.876376,0.000004,-0.020622,sample,5,0.500000,0.876377,2,43560
decoder,3,all,content-pool,conjugation,linear,0.437884,0.240469,0.709810,0.083127,0.312002,0.039960,0.125882,0.687969,0.032809,0.021841,group,5,0.333333,0.819444,3,43560
decoder,3,all,content-pool,l_shaped,linear,0.666429,0.235223,0.828703,0.128425,0.492364,0.057927,0.174065,0.798994,0.037623,0.029709,group,5,0.500000,0.893939,2,43560
