layer_type,layer_index,subset,probe_site,property,probe_type,balanced_accuracy,balanced_std,accuracy,std,control_balanced_accuracy,control_balanced_std,selectivity,control_accuracy,control_std,selectivity_raw,control_mode,n_controls,chance,majority_baseline,n_classes,n_samples
encoder,0,all,content-pool,stem_final_match,linear,0.641513,0.138883,0.799072,0.056154,0.499301,0.000731,0.142212,0.866722,0.008633,-0.067651,sample,5,0.500000,0.876377,2,43560
encoder,0,all,content-pool,conjugation,linear,0.456582,0.270195,0.676264,0.106938,0.339205,0.050435,0.117378,0.667642,0.026311,0.008622,group,5,0.333333,0.819444,3,43560
encoder,0,all,content-pool,l_shaped,linear,0.634822,0.255083,0.815674,0.119783,0.486805,0.075492,0.148017,0.772074,0.051894,0.043601,group,5,0.500000,0.893939,2,43560
encoder,1,all,content-pool,stem_final_match,linear,0.616219,0.142189,0.779099,0.075745,0.499946,0.000145,0.116272,0.875908,0.000735,-0.096809,sample,5,0.500000,0.876377,2,43560
encoder,1,all,content-pool,conjugation,linear,0.469362,0.269795,0.708641,0.101272,0.372148,0.059537,0.097214,0.708192,0.040492,0.000449,group,5,0.333333,0.819444,3,43560
encoder,1,all,content-pool,l_shaped,linear,0.642246,0.254606,0.827326,0.113094,0.523397,0.068028,0.118850,0.779973,0.049202,0.047353,group,5,0.500000,0.893939,2,43560
encoder,2,all,content-pool,stem_final_match,linear,0.589972,0.127778,0.806512,0.063807,0.499904,0.000120,0.090068,0.875928,0.000637,-0.069416,sample,5,0.500000,0.876377,2,43560
encoder,2,all,content-pool,conjugation,linear,0.420037,0.252263,0.693533,0.086273,0.315381,0.042206,0.104656,0.678151,0.018084,0.015383,group,5,0.333333,0.819444,3,43560
encoder,2,all,content-pool,l_shaped,linear,0.648431,0.252949,0.835103,0.107912,0.450272,0.036803,0.198159,0.766736,0.035261,0.068367,group,5,0.500000,0.893939,2,43560
encoder,3,all,content-pool,stem_final_match,linear,0.609521,0.151656,0.804162,0.052786,0.500109,0.000219,0.109411,0.876205,0.000357,-0.072043,sample,5,0.500000,0.876377,2,43560
encoder,3,all,content-pool,conjugation,linear,0.427524,0.255877,0.709479,0.084649,0.348721,0.045117,0.078803,0.707258,0.049460,0.002221,group,5,0.333333,0.819444,3,43560
encoder,3,all,content-pool,l_shaped,linear,0.646717,0.248132,0.837676,0.101222,0.505664,0.046973,0.141053,0.788979,0.031625,0.048697,group,5,0.500000,0.893939,2,43560
decoder,0,all,content-pool,stem_final_match,linear,0.702474,0.055505,0.815726,0.111565,0.500002,0.000004,0.202472,0.875793,0.001168,-0.060067,sample,5,0.500000,0.876377,2,43560
decoder,0,all,content-pool,conjugation,linear,0.410395,0.250682,0.704888,0.063151,0.310897,0.048708,0.099498,0.673549,0.024776,0.031339,group,5,0.333333,0.819444,3,43560
decoder,0,all,content-pool,l_shaped,linear,0.668426,0.218773,0.817209,0.088572,0.519564,0.059338,0.148862,0.813673,0.014308,0.003536,group,5,0.500000,0.893939,2,43560
decoder,1,all,content-pool,stem_final_match,linear,0.649762,0.105864,0.794955,0.086299,0.499934,0.000382,0.149829,0.874553,0.002648,-0.079597,sample,5,0.500000,0.876377,2,43560
decoder,1,all,content-pool,conjugation,linear,0.397924,0.259953,0.682737,0.094998,0.284981,0.020345,0.112943,0.668881,0.024658,0.013856,group,5,0.333333,0.819444,3,43560
decoder,1,all,content-pool,l_shaped,linear,0.703011,0.218554,0.830916,0.113791,0.523887,0.077014,0.179124,0.787437,0.033589,0.043479,group,5,0.500000,0.893939,2,43560
decoder,2,all,content-pool,stem_final_match,linear,0.673033,0.059791,0.833106,0.080846,0.500043,0.000681,0.172991,0.871832,0.002881,-0.038726,sample,5,0.500000,0.876377,2,43560
decoder,2,all,content-pool,conjugation,linear,0.393523,0.264084,0.671772,0.097143,0.320125,0.036136,0.073398,0.702632,0.036159,-0.030860,group,5,0.333333,0.819444,3,43560
decoder,2,all,content-pool,l_shaped,linear,0.693222,0.226017,0.834770,0.118662,0.564698,0.087618,0.128524,0.820806,0.040874,0.013964,group,5,0.500000,0.893939,2,43560
decoder,3,all,content-pool,stem_final_match,linear,0.687321,0.067467,0.851251,0.064898,0.499869,0.000196,0.187452,0.875723,0.000802,-0.024471,sample,5,0.500000,0.876377,2,43560
decoder,3,all,content-pool,conjugation,linear,0.404186,0.253150,0.683393,0.073373,0.316974,0.038104,0.087211,0.677124,0.036487,0.006270,group,5,0.333333,0.819444,3,43560
decoder,3,all,content-pool,l_shaped,linear,0.684143,0.236299,0.837023,0.121891,0.496992,0.046831,0.187151,0.809459,0.032594,0.027564,group,5,0.500000,0.893939,2,43560
