layer_type,layer_index,mood_bal_acc,p_sbjv_1sgind_L,p_sbjv_1sgind_NL,frac_sbjv_1sgind_L,frac_sbjv_1sgind_NL,n_1sgind_L,n_1sgind_NL,lshaped_nonar,lshaped_nonar_control,lshaped_nonar_selectivity,n_nonar,n_nonar_L_lemmas,n_nonar_NL_lemmas
encoder,3,0.8836409550045914,0.7383960201608875,0.7569833504119561,0.7324675324675325,0.7704160246533128,385,3245,0.4561363636363637,0.6160757575757576,-0.15993939393939394,7920,7,5
decoder,1,0.894880624426079,0.2754466025013511,0.4045564021716367,0.2727272727272727,0.4027734976887519,385,3245,0.5374242424242424,0.6049090909090908,-0.06748484848484848,7920,7,5
decoder,2,0.9000045913682277,0.41031538533641077,0.4308584710340421,0.4,0.4295839753466872,385,3245,0.5025000000000001,0.5672575757575757,-0.06475757575757568,7920,7,5
