layer_type,layer_index,mood_bal_acc,p_sbjv_1sgind_L,p_sbjv_1sgind_NL,frac_sbjv_1sgind_L,frac_sbjv_1sgind_NL,n_1sgind_L,n_1sgind_NL,lshaped_nonar,lshaped_nonar_control,lshaped_nonar_selectivity,n_nonar,n_nonar_L_lemmas,n_nonar_NL_lemmas
encoder,3,0.9732966023875115,0.6267030308622318,0.6179612094702545,0.6597402597402597,0.6342064714946071,385,3245,0.681060606060606,0.540939393939394,0.14012121212121198,9240,7,7
decoder,1,0.9587235996326906,0.8466587072451773,0.7174109264661979,0.8493506493506493,0.7306625577812018,385,3245,0.7965151515151515,0.6079999999999999,0.18851515151515164,9240,7,7
decoder,2,0.949811753902663,0.6764403981695682,0.5948255402290136,0.6467532467532467,0.6015408320493066,385,3245,0.8099999999999999,0.43512121212121213,0.3748787878787878,9240,7,7
