layer_type,layer_index,subset,probe_site,property,probe_type,balanced_accuracy,balanced_std,accuracy,std,control_balanced_accuracy,control_balanced_std,selectivity,control_accuracy,control_std,selectivity_raw,control_mode,n_controls,chance,majority_baseline,n_classes,n_samples
encoder,0,all,content-pool,stem_final_match,linear,0.629730,0.126932,0.808906,0.048526,0.500055,0.000775,0.129674,0.870346,0.005284,-0.061441,sample,5,0.500000,0.876377,2,43560
encoder,0,all,content-pool,conjugation,linear,0.393195,0.272400,0.669217,0.100253,0.343243,0.063293,0.049951,0.676367,0.050094,-0.007150,group,5,0.333333,0.819444,3,43560
encoder,0,all,content-pool,l_shaped,linear,0.637829,0.230793,0.852248,0.083931,0.506221,0.051605,0.131609,0.787159,0.046123,0.065089,group,5,0.500000,0.893939,2,43560
encoder,1,all,content-pool,stem_final_match,linear,0.614688,0.150769,0.802964,0.084052,0.500224,0.000339,0.114464,0.872977,0.004269,-0.070014,sample,5,0.500000,0.876377,2,43560
encoder,1,all,content-pool,conjugation,linear,0.399324,0.265412,0.664297,0.101419,0.374665,0.061649,0.024659,0.712451,0.035043,-0.048154,group,5,0.333333,0.819444,3,43560
encoder,1,all,content-pool,l_shaped,linear,0.658501,0.236749,0.828525,0.102167,0.518459,0.064655,0.140042,0.772484,0.033195,0.056041,group,5,0.500000,0.893939,2,43560
encoder,2,all,content-pool,stem_final_match,linear,0.652944,0.151107,0.845553,0.087091,0.500027,0.000099,0.152917,0.873994,0.004565,-0.028442,sample,5,0.500000,0.876377,2,43560
encoder,2,all,content-pool,conjugation,linear,0.411159,0.251993,0.714387,0.055907,0.316099,0.068352,0.095060,0.669972,0.056482,0.044416,group,5,0.333333,0.819444,3,43560
encoder,2,all,content-pool,l_shaped,linear,0.621806,0.208743,0.823653,0.090971,0.471321,0.039365,0.150485,0.770994,0.038186,0.052659,group,5,0.500000,0.893939,2,43560
encoder,3,all,content-pool,stem_final_match,linear,0.628029,0.108213,0.836031,0.066561,0.500173,0.000247,0.127856,0.874885,0.002425,-0.038855,sample,5,0.500000,0.876377,2,43560
encoder,3,all,content-pool,conjugation,linear,0.420652,0.259204,0.731705,0.070863,0.319039,0.030745,0.101612,0.706932,0.033887,0.024773,group,5,0.333333,0.819444,3,43560
encoder,3,all,content-pool,l_shaped,linear,0.692785,0.220764,0.841913,0.083170,0.475161,0.046508,0.217624,0.767598,0.048132,0.074315,group,5,0.500000,0.893939,2,43560
decoder,0,all,content-pool,stem_final_match,linear,0.549063,0.134687,0.751397,0.064268,0.500009,0.000172,0.049053,0.875390,0.001191,-0.123994,sample,5,0.500000,0.876377,2,43560
decoder,0,all,content-pool,conjugation,linear,0.430617,0.240532,0.732651,0.083463,0.317910,0.073122,0.112707,0.702741,0.034879,0.029910,group,5,0.333333,0.819444,3,43560
decoder,0,all,content-pool,l_shaped,linear,0.598330,0.183689,0.816459,0.049107,0.525829,0.047529,0.072501,0.826385,0.023274,-0.009926,group,5,0.500000,0.893939,2,43560
decoder,1,all,content-pool,stem_final_match,linear,0.643659,0.141026,0.811935,0.070478,0.499989,0.000040,0.143670,0.876131,0.000287,-0.064195,sample,5,0.500000,0.876377,2,43560
decoder,1,all,content-pool,conjugation,linear,0.628050,0.193699,0.822368,0.091968,0.282181,0.019758,0.345869,0.663977,0.021759,0.158391,group,5,0.333333,0.819444,3,43560
decoder,1,all,content-pool,l_shaped,linear,0.664045,0.168848,0.877274,0.028225,0.506112,0.086910,0.157933,0.799231,0.042980,0.078043,group,5,0.500000,0.893939,2,43560
decoder,2,all,content-pool,stem_final_match,linear,0.686723,0.194431,0.822420,0.096374,0.499911,0.000166,0.186812,0.875679,0.001008,-0.053259,sample,5,0.500000,0.876377,2,43560
decoder,2,all,content-pool,conjugation,linear,0.516018,0.221870,0.796410,0.047915,0.342873,0.046534,0.173145,0.710348,0.046244,0.086063,group,5,0.333333,0.819444,3,43560
decoder,2,all,content-pool,l_shaped,linear,0.697261,0.168741,0.879446,0.061270,0.562582,0.063571,0.134679,0.817865,0.048460,0.061580,group,5,0.500000,0.893939,2,43560
decoder,3,all,content-pool,stem_final_match,linear,0.675407,0.127585,0.823361,0.056410,0.500078,0.000097,0.175328,0.874036,0.004659,-0.050675,sample,5,0.500000,0.876377,2,43560
decoder,3,all,content-pool,conjugation,linear,0.426580,0.262907,0.736337,0.097924,0.284809,0.031681,0.141771,0.655156,0.042157,0.081181,group,5,0.333333,0.819444,3,43560
decoder,3,all,content-pool,l_shaped,linear,0.700177,0.193506,0.856312,0.101495,0.495379,0.053079,0.204797,0.795229,0.024149,0.061083,group,5,0.500000,0.893939,2,43560
