layer_type,layer_index,subset,property,probe_type,balanced_accuracy,control_balanced_accuracy,selectivity,n_samples
decoder,0,all,stem_final_match,linear,0.6512683231260838,0.5005768699965784,0.1506914531295055,43560
decoder,0,all,conjugation,linear,0.40646648301193755,0.39886483011937557,0.007601652892561983,43560
decoder,0,all,l_shaped,linear,0.578252984389348,0.4857619375573921,0.09249104683195591,43560
decoder,0,stemfinal_same,l_shaped,linear,0.6258361753022598,0.5102747575250293,0.1155614177772305,38580
decoder,1,all,stem_final_match,linear,0.617094732928692,0.49936084781129697,0.11773388511739502,43560
decoder,1,all,conjugation,linear,0.3825004591368228,0.26124022038567496,0.12126023875114783,43560
decoder,1,all,l_shaped,linear,0.6916769972451791,0.5600909090909092,0.13158608815426986,43560
decoder,1,stemfinal_same,l_shaped,linear,0.7563423328658252,0.5131362037454889,0.24320612912033635,38580
decoder,2,all,stem_final_match,linear,0.6900320246537566,0.5002577598181223,0.1897742648356343,43560
decoder,2,all,conjugation,linear,0.3429531680440771,0.3227331496786042,0.02022001836547288,43560
decoder,2,all,l_shaped,linear,0.7386799816345271,0.5169432966023876,0.2217366850321395,43560
decoder,2,stemfinal_same,l_shaped,linear,0.7444223558634497,0.5084392176443268,0.23598313821912298,38580
decoder,3,all,stem_final_match,linear,0.6613006453670056,0.4997045343866765,0.1615961109803291,43560
decoder,3,all,conjugation,linear,0.3573829201101928,0.3449208448117539,0.012462075298438902,43560
decoder,3,all,l_shaped,linear,0.7685479797979797,0.48092171717171717,0.28762626262626256,43560
decoder,3,stemfinal_same,l_shaped,linear,0.7729260248682603,0.4703929174983825,0.3025331073698778,38580
