layer_type,layer_index,mood_bal_acc,p_sbjv_1sgind_L,p_sbjv_1sgind_NL,frac_sbjv_1sgind_L,frac_sbjv_1sgind_NL,n_1sgind_L,n_1sgind_NL,lshaped_nonar,lshaped_nonar_control,lshaped_nonar_selectivity,n_nonar,n_nonar_L_lemmas,n_nonar_NL_lemmas
encoder,3,0.9430624426078972,0.26835865270193543,0.116416435420401,0.2545454545454545,0.09984591679506934,385,3245,0.6363636363636364,0.5508787878787879,0.0854848484848485,7920,7,5
decoder,1,0.9314876033057851,0.023516781949436783,0.15739632634631204,0.02077922077922078,0.1522342064714946,385,3245,0.47628787878787887,0.579878787878788,-0.10359090909090912,7920,7,5
decoder,2,0.9464830119375574,0.05551396364642658,0.09821322725713018,0.046753246753246755,0.09214175654853621,385,3245,0.4960606060606061,0.6053030303030302,-0.10924242424242414,7920,7,5
