layer_type,layer_index,mood_bal_acc,p_sbjv_1sgind_L,p_sbjv_1sgind_NL,frac_sbjv_1sgind_L,frac_sbjv_1sgind_NL,n_1sgind_L,n_1sgind_NL,lshaped_nonar,lshaped_nonar_control,lshaped_nonar_selectivity,n_nonar,n_nonar_L_lemmas,n_nonar_NL_lemmas
encoder,3,0.9043480257116621,0.1480903137041208,0.11155515902908483,0.13506493506493505,0.09799691833590139,385,3245,0.7890151515151516,0.49056060606060614,0.2984545454545454,9240,7,7
decoder,1,0.8805417814508724,0.3486756321906595,0.24435787890739014,0.33506493506493507,0.23420647149460708,385,3245,0.8369696969696971,0.6084545454545456,0.22851515151515156,9240,7,7
decoder,2,0.9059090909090909,0.07136520238698744,0.14277170329693595,0.04415584415584416,0.1473035439137134,385,3245,0.8228787878787879,0.43692424242424244,0.38595454545454544,9240,7,7
