layer_type,layer_index,mood_bal_acc,p_sbjv_1sgind_L,p_sbjv_1sgind_NL,frac_sbjv_1sgind_L,frac_sbjv_1sgind_NL,n_1sgind_L,n_1sgind_NL,lshaped_nonar,lshaped_nonar_control,lshaped_nonar_selectivity,n_nonar,n_nonar_L_lemmas,n_nonar_NL_lemmas
encoder,3,0.9627318640955005,0.049636281800638817,0.05065351605989028,0.02077922077922078,0.037596302003081665,385,3245,0.7012534435261708,0.451902982393101,0.2493504611330698,7865,7,5
decoder,1,0.95910927456382,0.2034592283787689,0.12027567502324651,0.21298701298701297,0.11124807395993837,385,3245,0.7298553719008265,0.4815768355491675,0.24827853635165897,7865,7,5
decoder,2,0.9622635445362717,0.14114231541864114,0.0669456576401519,0.15064935064935064,0.0613251155624037,385,3245,0.7646969696969697,0.5750868966343275,0.1896100730626421,7865,7,5
