layer_type,layer_index,mood_bal_acc,p_sbjv_1sgind_L,p_sbjv_1sgind_NL,frac_sbjv_1sgind_L,frac_sbjv_1sgind_NL,n_1sgind_L,n_1sgind_NL,lshaped_nonar,lshaped_nonar_control,lshaped_nonar_selectivity,n_nonar,n_nonar_L_lemmas,n_nonar_NL_lemmas
encoder,3,0.9463223140495868,0.16182903365659773,0.0466690991337866,0.14285714285714285,0.03821263482280431,385,3245,0.7923484848484847,0.4741515151515152,0.31819696969696953,9240,7,7
decoder,1,0.9445500459136822,0.06017700264740749,0.0886648066297021,0.04935064935064935,0.08043143297380585,385,3245,0.8600757575757576,0.6266818181818181,0.2333939393939395,9240,7,7
decoder,2,0.9525757575757576,0.00459305110442038,0.10325660669812425,0.0,0.09029275808936826,385,3245,0.8387878787878786,0.4683030303030303,0.37048484848484836,9240,7,7
