layer_type,layer_index,mood_bal_acc,p_sbjv_1sgind_L,p_sbjv_1sgind_NL,frac_sbjv_1sgind_L,frac_sbjv_1sgind_NL,n_1sgind_L,n_1sgind_NL,lshaped_nonar,lshaped_nonar_control,lshaped_nonar_selectivity,n_nonar,n_nonar_L_lemmas,n_nonar_NL_lemmas
encoder,3,0.846028466483012,0.29172083824908407,0.16824446936712856,0.2961038961038961,0.15747303543913713,385,3245,0.7842424242424243,0.4204848484848485,0.3637575757575758,9240,7,7
decoder,1,0.9067952249770431,0.5737866629319599,0.22334962252953358,0.574025974025974,0.21571648690292758,385,3245,0.8554545454545455,0.6027878787878788,0.2526666666666667,9240,7,7
decoder,2,0.9321349862258953,0.34387877851123655,0.22021417614449412,0.34545454545454546,0.2098613251155624,385,3245,0.8317424242424242,0.4667272727272727,0.36501515151515146,9240,7,7
