layer_type,layer_index,mood_bal_acc,p_sbjv_1sgind_L,p_sbjv_1sgind_NL,frac_sbjv_1sgind_L,frac_sbjv_1sgind_NL,n_1sgind_L,n_1sgind_NL,lshaped_nonar,lshaped_nonar_control,lshaped_nonar_selectivity,n_nonar,n_nonar_L_lemmas,n_nonar_NL_lemmas
encoder,3,0.9578007346189165,0.06370929917942121,0.03571598719049187,0.01818181818181818,0.03266563944530046,385,3245,0.7559297520661157,0.46598987902742844,0.28993987303868723,7865,7,5
decoder,1,0.9244674012855831,0.34999657979928633,0.22001129076714535,0.34025974025974026,0.21047765793528506,385,3245,0.7582575757575757,0.5060946221104323,0.25216295364714336,7865,7,5
decoder,2,0.9518273645546373,0.18530005969381258,0.08773269099784979,0.17922077922077922,0.07858243451463791,385,3245,0.6956060606060606,0.5484231045634208,0.14718295604263976,7865,7,5
