layer_type,layer_index,direction,balanced_accuracy,control_balanced_accuracy,selectivity,n_controls
encoder,0,differ->same,0.6911084929377265,0.46400269250318843,0.22710580043453804,5
encoder,0,same->differ,0.7660317460317461,0.6343964782084424,0.1316352678233037,5
encoder,1,differ->same,0.7354268755044966,0.47472957838980484,0.26069729711469175,5
encoder,1,same->differ,0.764920634920635,0.536979902454304,0.22794073246633095,5
encoder,2,differ->same,0.7376485632207338,0.45499180619972507,0.28265675702100873,5
encoder,2,same->differ,0.8044802867383513,0.7249721437057337,0.07950814303261755,5
encoder,3,differ->same,0.7642772890218812,0.5149071962448912,0.24937009277698996,5
encoder,3,same->differ,0.7672606246799796,0.5820272182359778,0.18523340644400177,5
decoder,0,differ->same,0.7423418428498048,0.5094739915003053,0.2328678513494995,5
decoder,0,same->differ,0.6838812083973375,0.40368978189683674,0.2801914265005007,5
decoder,1,differ->same,0.711216743988846,0.4906014021617795,0.22061534182706655,5
decoder,1,same->differ,0.6822222222222223,0.45271054079429296,0.22951168142792933,5
decoder,2,differ->same,0.7193054049426402,0.45427473121226347,0.2650306737303767,5
decoder,2,same->differ,0.7122222222222222,0.5944724307651139,0.11774979145710829,5
decoder,3,differ->same,0.6740927213873964,0.5039280897077283,0.1701646316796681,5
decoder,3,same->differ,0.6679365079365079,0.5747165041288536,0.09322000380765438,5
