layer_type,layer_index,direction,balanced_accuracy,control_balanced_accuracy,selectivity,n_controls
encoder,0,differ->same,0.4109459912568721,0.5509495511758914,-0.1400035599190193,5
encoder,0,same->differ,0.5267479865509422,0.5646501154470049,-0.0379021288960627,5
encoder,1,differ->same,0.45332612120176885,0.49366847621650634,-0.040342355014737485,5
encoder,1,same->differ,0.5666979435452342,0.5284633055424531,0.03823463800278104,5
encoder,2,differ->same,0.506111332536203,0.48062591220958356,0.025485420326619435,5
encoder,2,same->differ,0.49329267339119554,0.6497817485849084,-0.1564890751937129,5
encoder,3,differ->same,0.510654553659735,0.49684930012176637,0.013805253537968631,5
encoder,3,same->differ,0.550923449839706,0.6197598561689954,-0.06883640632928945,5
decoder,0,differ->same,0.49770962102568317,0.4889892956178624,0.00872032540782075,5
decoder,0,same->differ,0.5930440222065838,0.6750164980813012,-0.08197247587471734,5
decoder,1,differ->same,0.5271136079426235,0.49624867986384075,0.030864928078782772,5
decoder,1,same->differ,0.4869215732269919,0.6984328035251176,-0.21151123029812569,5
decoder,2,differ->same,0.5128308459914678,0.48779156356383113,0.025039282427636644,5
decoder,2,same->differ,0.5222331691297208,0.5887879363827941,-0.0665547672530733,5
decoder,3,differ->same,0.4764791723340946,0.47282584214434886,0.0036533301897457293,5
decoder,3,same->differ,0.551339432324654,0.7119774944742602,-0.1606380621496062,5
