layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,selectivity,raw_accuracy,majority_baseline,n_folds,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
encoder,0,stemfinal_same,linear,0.48272108692020155,0.11296506847023305,0.5,-0.017278913079798452,0.8346558509568593,0.9614931237721022,5,38175,1470,36705,7,59
encoder,0,stemfinal_same,mlp,0.4581698718246545,0.05737742323098058,0.4999156474061578,-0.041745775581503275,0.8795025091897445,0.9614931237721022,5,38175,1470,36705,7,59
encoder,0,stemfinal_differ,linear,0.745468509984639,0.17052602984397747,0.5080128354408255,0.23745567454381344,0.7152096411687204,0.584958217270195,5,5385,3150,2235,6,10
encoder,0,stemfinal_differ,mlp,0.7908141321044546,0.20075346427102053,0.5063535456690815,0.2844605864353731,0.784212715389186,0.584958217270195,5,5385,3150,2235,6,10
encoder,0,all,linear,0.6393055555555556,0.22233118167835852,0.5,0.13930555555555557,0.8210989010989012,0.8939393939393939,5,43560,4620,38940,7,59
encoder,0,all,mlp,0.5596131772268136,0.18627023615599206,0.500053248693947,0.059559928532866624,0.8072627372627373,0.8939393939393939,5,43560,4620,38940,7,59
encoder,1,stemfinal_same,linear,0.47990748051146975,0.12462167910921602,0.5,-0.020092519488530247,0.8296282000035957,0.9614931237721022,5,38175,1470,36705,7,59
encoder,1,stemfinal_same,mlp,0.5253643786341724,0.11819447515591369,0.5,0.025364378634172402,0.903345772997992,0.9614931237721022,5,38175,1470,36705,7,59
encoder,1,stemfinal_differ,linear,0.7568970814132104,0.19752634977743408,0.4933696833189332,0.2635273980942772,0.7404182489860239,0.584958217270195,5,5385,3150,2235,6,10
encoder,1,stemfinal_differ,mlp,0.8049677419354838,0.19084107847577272,0.49667124408248037,0.30829649785300345,0.7996233434085097,0.584958217270195,5,5385,3150,2235,6,10
encoder,1,all,linear,0.6291196051423324,0.22986332407035912,0.5001906116671743,0.12892899347515818,0.7962837162837163,0.8939393939393939,5,43560,4620,38940,7,59
encoder,1,all,mlp,0.5820948117539027,0.2046324527589075,0.5,0.08209481175390265,0.8227605727605727,0.8939393939393939,5,43560,4620,38940,7,59
encoder,2,stemfinal_same,linear,0.49037460668488453,0.10821970452217834,0.4995359302489101,-0.009161323564025547,0.8496257984744817,0.9614931237721022,5,38175,1470,36705,7,59
