layer_type,layer_index,direction,balanced_accuracy,control_balanced_accuracy,selectivity,n_controls
encoder,0,differ->same,0.4600485869915922,0.538423100896666,-0.07837451390507383,5
encoder,0,same->differ,0.5106732348111658,0.5554200807000977,-0.04474684588893196,5
encoder,1,differ->same,0.47200554195372846,0.5162697144654664,-0.044264172511737976,5
encoder,1,same->differ,0.5493924466338259,0.5305362175563944,0.018856229077431563,5
encoder,2,differ->same,0.4569132076904098,0.5199992542344903,-0.06308604654408057,5
encoder,2,same->differ,0.5756931738212526,0.6580819245931029,-0.08238875077185026,5
encoder,3,differ->same,0.4742682955118188,0.5009894409656657,-0.02672114545384685,5
encoder,3,same->differ,0.5510970365157557,0.6185204720064027,-0.067423435490647,5
decoder,0,differ->same,0.43188943085316145,0.47873948557257107,-0.04685005471940962,5
decoder,0,same->differ,0.4813980764719681,0.6552637073219165,-0.17386563084994844,5
decoder,1,differ->same,0.6344828458818096,0.4903083483410818,0.1441744975407278,5
decoder,1,same->differ,0.5277801235436703,0.6574744785078349,-0.1296943549641646,5
decoder,2,differ->same,0.5881967773159483,0.49003277727456024,0.09816400004138809,5
decoder,2,same->differ,0.5306122448979592,0.5668097539162232,-0.03619750901826402,5
decoder,3,differ->same,0.5206882735380145,0.45941678805345065,0.06127148548456385,5
decoder,3,same->differ,0.5644897959183673,0.7379090786551469,-0.17341928273677953,5
