layer_type,layer_index,direction,balanced_accuracy,control_balanced_accuracy,selectivity,n_controls
encoder,0,differ->same,0.7139750666547082,0.4893576096479662,0.22461745700674202,5
encoder,0,same->differ,0.7372196620583717,0.6998214784004324,0.03739818365793934,5
encoder,1,differ->same,0.7161482411582292,0.4310245487430689,0.2851236924151603,5
encoder,1,same->differ,0.7680952380952382,0.45958684447705,0.30850839361818816,5
encoder,2,differ->same,0.7214137592711876,0.486451773668448,0.23496198560273956,5
encoder,2,same->differ,0.7534920634920634,0.7727759715575686,-0.019283908065505173,5
encoder,3,differ->same,0.7532865323516542,0.47446070565429516,0.27882582669735906,5
encoder,3,same->differ,0.7823809523809524,0.6107226987147054,0.17165825366624698,5
decoder,0,differ->same,0.7735912822979771,0.5311407880881648,0.24245049420981235,5
decoder,0,same->differ,0.695663082437276,0.41894248111499205,0.276720601322284,5
decoder,1,differ->same,0.742855512160917,0.47414232604572226,0.2687131861151948,5
decoder,1,same->differ,0.7720634920634921,0.46405167882579423,0.3080118132376979,5
decoder,2,differ->same,0.7154557388276925,0.45061535883061715,0.2648403799970754,5
decoder,2,same->differ,0.8166666666666667,0.6313762983233869,0.18529036834327972,5
decoder,3,differ->same,0.6514104163439247,0.47674084995139926,0.17466956639252545,5
decoder,3,same->differ,0.7120634920634921,0.6000511039007042,0.11201238816278791,5
