layer_type,layer_index,direction,balanced_accuracy,control_balanced_accuracy,selectivity,n_controls
encoder,0,differ->same,0.4862027361005702,0.48707428870938485,-0.000871552608814663,5
encoder,0,same->differ,0.6272025141152657,0.5276136072144635,0.09958890690080224,5
encoder,1,differ->same,0.4688046448657109,0.44978581436218884,0.019018830503522044,5
encoder,1,same->differ,0.6386257590284435,0.4685183289078686,0.17010743012057494,5
encoder,2,differ->same,0.4690741682860312,0.5195441896807248,-0.05047002139469359,5
encoder,2,same->differ,0.6086950037285608,0.5468551992654689,0.061839804463091896,5
encoder,3,differ->same,0.47802765568834804,0.4720751525310378,0.005952503157310218,5
encoder,3,same->differ,0.6842058165548098,0.5317449139130804,0.1524609026417294,5
decoder,0,differ->same,0.4577822628847207,0.5124200622029987,-0.05463779931827806,5
decoder,0,same->differ,0.5435261531905827,0.6542618551023677,-0.11073570191178495,5
decoder,1,differ->same,0.6294561715164202,0.6078777102746189,0.021578461241801294,5
decoder,1,same->differ,0.6826526046660275,0.7589885853128913,-0.07633598064686375,5
decoder,2,differ->same,0.6322316094398528,0.46814230193733175,0.16408930750252104,5
decoder,2,same->differ,0.6602428891019495,0.43814098844127275,0.22210190066067675,5
decoder,3,differ->same,0.6561349590919326,0.476372199265105,0.17976275982682766,5
decoder,3,same->differ,0.6573410035155002,0.5888417687037865,0.06849923481171372,5
