layer_type,layer_index,subset,property,probe_type,balanced_accuracy,control_balanced_accuracy,selectivity,n_samples
decoder,0,all,stem_final_match,linear,0.5823352292255746,0.4996937796629961,0.08264144956257846,43560
decoder,0,all,conjugation,linear,0.4043021120293847,0.36089494949494955,0.04340716253443516,43560
decoder,0,all,l_shaped,linear,0.6344444444444444,0.523034435261708,0.11141000918273636,43560
decoder,0,stemfinal_same,l_shaped,linear,0.7034893117708326,0.4802981755267946,0.22319113624403802,38580
decoder,1,all,stem_final_match,linear,0.6027134942526967,0.5001136094532734,0.10259988479942328,43560
decoder,1,all,conjugation,linear,0.387752984389348,0.2929821854912764,0.0947707988980716,43560
decoder,1,all,l_shaped,linear,0.7048829201101927,0.543966712580349,0.1609162075298437,43560
decoder,1,stemfinal_same,l_shaped,linear,0.7426473813764554,0.5307464153367201,0.2119009660397353,38580
decoder,2,all,stem_final_match,linear,0.6216198144704397,0.500493693495212,0.12112612097522768,43560
decoder,2,all,conjugation,linear,0.32008448117539023,0.3205239669421488,-0.00043948576675856277,43560
decoder,2,all,l_shaped,linear,0.7210353535353535,0.5315750688705234,0.18946028466483011,43560
decoder,2,stemfinal_same,l_shaped,linear,0.6764056176538645,0.5380678230240803,0.13833779462978424,38580
decoder,3,all,stem_final_match,linear,0.6133593878018379,0.5008160204711566,0.11254336733068127,43560
decoder,3,all,conjugation,linear,0.3555417814508724,0.36014104683195597,-0.004599265381083573,43560
decoder,3,all,l_shaped,linear,0.6730555555555556,0.47469880624426075,0.19835674931129488,43560
decoder,3,stemfinal_same,l_shaped,linear,0.7231772556315244,0.4884161755575972,0.23476108007392715,38580
