layer_type,layer_index,subset,property,probe_type,balanced_accuracy,control_balanced_accuracy,selectivity,n_samples
decoder,0,all,stem_final_match,linear,0.6311833666592643,0.5009532498041142,0.13023011685515018,43120
decoder,0,all,conjugation,linear,0.46498607778666423,0.2948154121863799,0.17017066560028432,43120
decoder,0,all,l_shaped,linear,0.7716540404040404,0.46400507751309894,0.30764896289094146,43120
decoder,0,stemfinal_same,l_shaped,linear,0.7157958135392659,0.5000909293787773,0.2157048841604886,38727
decoder,1,all,stem_final_match,linear,0.6585864873317886,0.4998832017492889,0.1587032855824997,43120
decoder,1,all,conjugation,linear,0.4483923990639534,0.37119865517343525,0.07719374389051814,43120
decoder,1,all,l_shaped,linear,0.8298739399341004,0.5053068654459029,0.32456707448819755,43120
decoder,1,stemfinal_same,l_shaped,linear,0.7561347734823183,0.43450798211732067,0.3216267913649976,38727
decoder,2,all,stem_final_match,linear,0.6183831291447646,0.4998334554837641,0.11854967366100044,43120
decoder,2,all,conjugation,linear,0.44957839390977217,0.36924700376195985,0.08033139014781232,43120
decoder,2,all,l_shaped,linear,0.8093457975476692,0.5510922594933291,0.25825353805434015,43120
decoder,2,stemfinal_same,l_shaped,linear,0.6951138037198932,0.47385884553958063,0.22125495818031254,38727
decoder,3,all,stem_final_match,linear,0.6344065056002899,0.5004280215523697,0.13397848404792023,43120
decoder,3,all,conjugation,linear,0.5506347048194555,0.33199350099232794,0.2186412038271276,43120
decoder,3,all,l_shaped,linear,0.7829292929292929,0.4625666963755199,0.320362596553773,43120
decoder,3,stemfinal_same,l_shaped,linear,0.7169290904969778,0.4543329508335008,0.26259613966347706,38727
