layer_type,layer_index,frac_classified_L,mean_p_L,n_items
encoder,0,0.15833333333333333,0.16277297547632202,120
encoder,1,0.275,0.27125476343751004,120
encoder,2,0.18333333333333332,0.18848681086257588,120
encoder,3,0.15,0.14678283875305112,120
decoder,0,0.13333333333333333,0.13139019217077763,120
decoder,1,0.14166666666666666,0.14078751166415843,120
decoder,2,0.25,0.2504668557179788,120
decoder,3,0.30833333333333335,0.3024870240483948,120
