layer_type,layer_index,direction,balanced_accuracy,control_balanced_accuracy,selectivity,n_controls
encoder,0,differ->same,0.7154081768544414,0.4392118599740546,0.27619631688038676,5
encoder,0,same->differ,0.8068253968253969,0.6856020088149541,0.12122338801044275,5
encoder,1,differ->same,0.7048072924735216,0.5006447860701796,0.204162506403342,5
encoder,1,same->differ,0.8187301587301588,0.48908543648251374,0.329644722247645,5
encoder,2,differ->same,0.695463946665362,0.4553021661482378,0.24016178051712422,5
encoder,2,same->differ,0.8166666666666667,0.7876293453851682,0.029037321281498496,5
encoder,3,differ->same,0.6834311751068786,0.487468246814936,0.19596292829194256,5
encoder,3,same->differ,0.8028571428571429,0.5840230691411643,0.21883407371597863,5
decoder,0,differ->same,0.7519569713622565,0.5338660094329234,0.21809096192933308,5
decoder,0,same->differ,0.7676190476190476,0.4251285767974144,0.34249047082163325,5
decoder,1,differ->same,0.7216065890998828,0.4943792020837304,0.22722738701615247,5
decoder,1,same->differ,0.7747619047619048,0.4857539534658472,0.28900795129605755,5
decoder,2,differ->same,0.6399394196352133,0.4766831251576687,0.16325629447754458,5
decoder,2,same->differ,0.7647619047619048,0.4966369023507454,0.26812500241115933,5
decoder,3,differ->same,0.6207432713396984,0.4834396808067627,0.13730359053293573,5
decoder,3,same->differ,0.7582539682539682,0.6351280807078921,0.12312588754607612,5
