layer_type,layer_index,direction,balanced_accuracy,control_balanced_accuracy,selectivity,n_controls
encoder,0,differ->same,0.38042855244927787,0.5358545176928902,-0.1554259652436123,5
encoder,0,same->differ,0.5279146141215106,0.5500257717914848,-0.02211115766997418,5
encoder,1,differ->same,0.40565772741938544,0.49525145079764965,-0.08959372337826421,5
encoder,1,same->differ,0.6099069512862616,0.4786221085519637,0.1312848427342979,5
encoder,2,differ->same,0.4067684378565207,0.4959100260130471,-0.0891415881565264,5
encoder,2,same->differ,0.5653264524200485,0.6315138811545902,-0.06618742873454164,5
encoder,3,differ->same,0.43201701388229885,0.4951661590850439,-0.06314914520274506,5
encoder,3,same->differ,0.572050981312065,0.6496562229543565,-0.07760524164229154,5
decoder,0,differ->same,0.45274851803349214,0.4823010895275138,-0.029552571494021684,5
decoder,0,same->differ,0.5106012979904606,0.6643844293338013,-0.15378313134334065,5
decoder,1,differ->same,0.4991446665021795,0.4845860994963608,0.014558567005818701,5
decoder,1,same->differ,0.5901211979044492,0.7455278552194773,-0.15540665731502812,5
decoder,2,differ->same,0.47391760034247077,0.5077709805841096,-0.033853380241638864,5
decoder,2,same->differ,0.5520118852138557,0.5962626319948217,-0.044250746780965966,5
decoder,3,differ->same,0.5210436080902402,0.49190924638856914,0.029134361701671052,5
decoder,3,same->differ,0.5459629368988975,0.6869800265578799,-0.1410170896589824,5
