layer_type,layer_index,direction,balanced_accuracy,control_balanced_accuracy,selectivity,n_controls
encoder,0,differ->same,0.6759059196990822,0.4707911023145496,0.20511481738453258,5
encoder,0,same->differ,0.8146031746031746,0.644603521341707,0.1699996532614676,5
encoder,1,differ->same,0.6731626809733082,0.47485084452967913,0.1983118364436291,5
encoder,1,same->differ,0.8076958525345622,0.46709740242063924,0.340598450113923,5
encoder,2,differ->same,0.6633975284080871,0.4661747677353351,0.19722276067275196,5
encoder,2,same->differ,0.7955555555555556,0.7586301354244896,0.03692542013106592,5
encoder,3,differ->same,0.6789297740670379,0.509800140153151,0.1691296339138869,5
encoder,3,same->differ,0.7984126984126985,0.5991773369960492,0.19923536141664921,5
decoder,0,differ->same,0.7554678603363039,0.5443233652316988,0.2111444951046051,5
decoder,0,same->differ,0.7390476190476191,0.4567797566464109,0.28226786240120816,5
decoder,1,differ->same,0.7105158163944763,0.49396303102906874,0.2165527853654075,5
decoder,1,same->differ,0.7893650793650794,0.4632209800847968,0.3261440992802826,5
decoder,2,differ->same,0.7109406127612852,0.49993771817345073,0.21100289458783444,5
decoder,2,same->differ,0.8247619047619048,0.5783252479852395,0.24643665677666526,5
decoder,3,differ->same,0.688565693956368,0.47874107297372326,0.20982462098264476,5
decoder,3,same->differ,0.7914285714285714,0.6290826417770113,0.16234592965156003,5
