layer_type,layer_index,mood_bal_acc,p_sbjv_1sgind_L,p_sbjv_1sgind_NL,frac_sbjv_1sgind_L,frac_sbjv_1sgind_NL,n_1sgind_L,n_1sgind_NL,lshaped_nonar,lshaped_nonar_control,lshaped_nonar_selectivity,n_nonar,n_nonar_L_lemmas,n_nonar_NL_lemmas
encoder,3,0.923971533516988,0.9275766366003425,0.8371192196065542,0.9376623376623376,0.8539291217257319,385,3245,0.6252272727272727,0.5240151515151515,0.1012121212121212,7920,7,5
decoder,1,0.8550780532598714,0.866557792892697,0.4835228791417364,0.8831168831168831,0.48166409861325116,385,3245,0.41780303030303034,0.5882121212121213,-0.17040909090909095,7920,7,5
decoder,2,0.9275803489439853,0.9847184922798617,0.7963304309978643,0.9948051948051948,0.8163328197226503,385,3245,0.41348484848484846,0.4784848484848484,-0.06499999999999995,7920,7,5
