layer_type,layer_index,frac_classified_L,mean_p_L,n_items
encoder,0,0.5916666666666667,0.5870333565081952,120
encoder,1,0.44166666666666665,0.4222927584018624,120
encoder,2,0.21666666666666667,0.20623946257269754,120
encoder,3,0.08333333333333333,0.08086511596701912,120
decoder,0,0.125,0.12432673360255274,120
decoder,1,0.11666666666666667,0.11625710280024153,120
decoder,2,0.11666666666666667,0.1101925020879145,120
decoder,3,0.11666666666666667,0.11289507092855808,120
