layer_type,layer_index,subset,probe_site,property,probe_type,balanced_accuracy,balanced_std,accuracy,std,control_balanced_accuracy,control_balanced_std,selectivity,control_accuracy,control_std,selectivity_raw,control_mode,n_controls,chance,majority_baseline,n_classes,n_samples
encoder,0,all,content-pool,stem_final_match,linear,0.584076,0.166971,0.830792,0.085633,0.499931,0.000093,0.084145,0.891785,0.005729,-0.060993,sample,5,0.500000,0.895661,2,43560
encoder,0,all,content-pool,conjugation,linear,0.619594,0.160288,0.743340,0.067824,0.330390,0.042166,0.289204,0.599856,0.028066,0.143484,group,5,0.333333,0.787879,3,43560
encoder,0,all,content-pool,l_shaped,linear,0.810178,0.178625,0.930330,0.023050,0.533957,0.067631,0.276221,0.812402,0.031381,0.117927,group,5,0.500000,0.893939,2,43560
encoder,1,all,content-pool,stem_final_match,linear,0.561364,0.114210,0.831383,0.086031,0.500000,0.000000,0.061364,0.895667,0.000003,-0.064284,sample,5,0.500000,0.895661,2,43560
encoder,1,all,content-pool,conjugation,linear,0.554628,0.150766,0.728139,0.074355,0.312188,0.039408,0.242440,0.616925,0.026247,0.111213,group,5,0.333333,0.787879,3,43560
encoder,1,all,content-pool,l_shaped,linear,0.833178,0.193555,0.942031,0.035099,0.476767,0.023033,0.356412,0.800518,0.021715,0.141513,group,5,0.500000,0.893939,2,43560
encoder,2,all,content-pool,stem_final_match,linear,0.640533,0.133223,0.845914,0.094413,0.500029,0.000058,0.140504,0.895605,0.000109,-0.049691,sample,5,0.500000,0.895661,2,43560
encoder,2,all,content-pool,conjugation,linear,0.601181,0.186624,0.739882,0.068060,0.387387,0.094055,0.213794,0.640641,0.059457,0.099241,group,5,0.333333,0.787879,3,43560
encoder,2,all,content-pool,l_shaped,linear,0.831657,0.191139,0.943080,0.042983,0.493154,0.051039,0.338503,0.796507,0.041896,0.146573,group,5,0.500000,0.893939,2,43560
encoder,3,all,content-pool,stem_final_match,linear,0.612620,0.105763,0.863600,0.072094,0.500000,0.000000,0.112620,0.895661,0.000003,-0.032061,sample,5,0.500000,0.895661,2,43560
encoder,3,all,content-pool,conjugation,linear,0.610674,0.197341,0.763856,0.110311,0.307367,0.050707,0.303307,0.597285,0.043935,0.166571,group,5,0.333333,0.787879,3,43560
encoder,3,all,content-pool,l_shaped,linear,0.830977,0.189973,0.947080,0.037076,0.494762,0.066686,0.336214,0.799799,0.043556,0.147281,group,5,0.500000,0.893939,2,43560
decoder,0,all,content-pool,stem_final_match,linear,0.618067,0.119739,0.830688,0.049343,0.500090,0.000555,0.117977,0.892247,0.002421,-0.061558,sample,5,0.500000,0.895661,2,43560
decoder,0,all,content-pool,conjugation,linear,0.628114,0.106016,0.787279,0.099361,0.373344,0.092828,0.254770,0.677940,0.026585,0.109340,group,5,0.333333,0.787879,3,43560
decoder,0,all,content-pool,l_shaped,linear,0.841012,0.176901,0.937081,0.058249,0.498180,0.037554,0.342832,0.816602,0.021828,0.120479,group,5,0.500000,0.893939,2,43560
decoder,1,all,content-pool,stem_final_match,linear,0.594880,0.134112,0.879627,0.050125,0.499897,0.000592,0.094984,0.892537,0.003221,-0.012910,sample,5,0.500000,0.895661,2,43560
decoder,1,all,content-pool,conjugation,linear,0.718454,0.159111,0.828558,0.078311,0.351302,0.038069,0.367152,0.660703,0.028710,0.167855,group,5,0.333333,0.787879,3,43560
decoder,1,all,content-pool,l_shaped,linear,0.900463,0.125240,0.955238,0.050937,0.475634,0.035905,0.424829,0.810316,0.010806,0.144922,group,5,0.500000,0.893939,2,43560
decoder,2,all,content-pool,stem_final_match,linear,0.593845,0.108002,0.841677,0.046398,0.500009,0.000187,0.093836,0.895440,0.000282,-0.053763,sample,5,0.500000,0.895661,2,43560
decoder,2,all,content-pool,conjugation,linear,0.658894,0.219585,0.820604,0.094573,0.324623,0.078053,0.334272,0.626400,0.069475,0.194204,group,5,0.333333,0.787879,3,43560
decoder,2,all,content-pool,l_shaped,linear,0.886881,0.143423,0.941880,0.061459,0.495545,0.053221,0.391336,0.810057,0.044820,0.131823,group,5,0.500000,0.893939,2,43560
decoder,3,all,content-pool,stem_final_match,linear,0.591300,0.073371,0.873866,0.028269,0.499992,0.000017,0.091309,0.894401,0.002524,-0.020535,sample,5,0.500000,0.895661,2,43560
decoder,3,all,content-pool,conjugation,linear,0.538601,0.241131,0.754865,0.044650,0.311779,0.065524,0.226823,0.609165,0.063628,0.145700,group,5,0.333333,0.787879,3,43560
decoder,3,all,content-pool,l_shaped,linear,0.758124,0.188174,0.884356,0.039382,0.476110,0.033137,0.282014,0.796471,0.022013,0.087885,group,5,0.500000,0.893939,2,43560
