layer_type,layer_index,subset,probe_site,property,probe_type,balanced_accuracy,balanced_std,accuracy,std,control_balanced_accuracy,control_balanced_std,selectivity,control_accuracy,control_std,selectivity_raw,control_mode,n_controls,chance,majority_baseline,n_classes,n_samples
encoder,0,all,content-pool,stem_final_match,linear,0.578737,0.130665,0.851028,0.051234,0.499997,0.000005,0.078740,0.895659,0.000009,-0.044631,sample,5,0.500000,0.895661,2,43560
encoder,0,all,content-pool,conjugation,linear,0.579291,0.203992,0.721931,0.080827,0.357369,0.062216,0.221922,0.606019,0.043642,0.115913,group,5,0.333333,0.787879,3,43560
encoder,0,all,content-pool,l_shaped,linear,0.808119,0.171442,0.922547,0.032077,0.537629,0.058805,0.270490,0.816470,0.014658,0.106077,group,5,0.500000,0.893939,2,43560
encoder,1,all,content-pool,stem_final_match,linear,0.614709,0.119834,0.859409,0.042465,0.500000,0.000000,0.114709,0.895667,0.000003,-0.036258,sample,5,0.500000,0.895661,2,43560
encoder,1,all,content-pool,conjugation,linear,0.561140,0.165758,0.712581,0.097722,0.319411,0.050769,0.241730,0.622872,0.022902,0.089709,group,5,0.333333,0.787879,3,43560
encoder,1,all,content-pool,l_shaped,linear,0.815646,0.180331,0.924657,0.043230,0.516043,0.058021,0.299603,0.813695,0.032558,0.110962,group,5,0.500000,0.893939,2,43560
encoder,2,all,content-pool,stem_final_match,linear,0.619802,0.029784,0.870488,0.031292,0.500000,0.000000,0.119802,0.895661,0.000004,-0.025173,sample,5,0.500000,0.895661,2,43560
encoder,2,all,content-pool,conjugation,linear,0.612291,0.155618,0.715991,0.079432,0.384090,0.039714,0.228201,0.649824,0.035795,0.066167,group,5,0.333333,0.787879,3,43560
encoder,2,all,content-pool,l_shaped,linear,0.816174,0.178246,0.930105,0.049343,0.494165,0.052628,0.322010,0.796726,0.030084,0.133379,group,5,0.500000,0.893939,2,43560
encoder,3,all,content-pool,stem_final_match,linear,0.594340,0.111287,0.886766,0.042424,0.500018,0.000037,0.094321,0.895661,0.000003,-0.008896,sample,5,0.500000,0.895661,2,43560
encoder,3,all,content-pool,conjugation,linear,0.590619,0.145378,0.731225,0.046706,0.317262,0.058135,0.273357,0.599936,0.037506,0.131290,group,5,0.333333,0.787879,3,43560
encoder,3,all,content-pool,l_shaped,linear,0.804823,0.175730,0.931522,0.042091,0.467801,0.030762,0.337022,0.790053,0.027408,0.141469,group,5,0.500000,0.893939,2,43560
decoder,0,all,content-pool,stem_final_match,linear,0.596466,0.112421,0.831257,0.066426,0.500148,0.000589,0.096318,0.892592,0.003412,-0.061335,sample,5,0.500000,0.895661,2,43560
decoder,0,all,content-pool,conjugation,linear,0.493543,0.127284,0.721166,0.095679,0.374019,0.065670,0.119523,0.693207,0.027544,0.027958,group,5,0.333333,0.787879,3,43560
decoder,0,all,content-pool,l_shaped,linear,0.721139,0.142303,0.879029,0.039095,0.502572,0.074938,0.218566,0.820194,0.034884,0.058835,group,5,0.500000,0.893939,2,43560
decoder,1,all,content-pool,stem_final_match,linear,0.663082,0.112171,0.895798,0.016366,0.499935,0.000124,0.163148,0.895404,0.000502,0.000394,sample,5,0.500000,0.895661,2,43560
decoder,1,all,content-pool,conjugation,linear,0.625314,0.138786,0.775503,0.038894,0.324385,0.031360,0.300929,0.657784,0.028707,0.117719,group,5,0.333333,0.787879,3,43560
decoder,1,all,content-pool,l_shaped,linear,0.797677,0.170579,0.907174,0.047366,0.481654,0.043982,0.316022,0.816421,0.024390,0.090754,group,5,0.500000,0.893939,2,43560
decoder,2,all,content-pool,stem_final_match,linear,0.586847,0.073719,0.838092,0.025531,0.499726,0.000344,0.087121,0.892398,0.005068,-0.054305,sample,5,0.500000,0.895661,2,43560
decoder,2,all,content-pool,conjugation,linear,0.653213,0.143141,0.807145,0.067137,0.339335,0.071843,0.313878,0.643501,0.079224,0.163644,group,5,0.333333,0.787879,3,43560
decoder,2,all,content-pool,l_shaped,linear,0.907652,0.117935,0.962947,0.023572,0.451860,0.026113,0.455792,0.795134,0.039376,0.167813,group,5,0.500000,0.893939,2,43560
decoder,3,all,content-pool,stem_final_match,linear,0.611949,0.132205,0.867138,0.050858,0.500065,0.000178,0.111884,0.890212,0.004722,-0.023074,sample,5,0.500000,0.895661,2,43560
decoder,3,all,content-pool,conjugation,linear,0.488821,0.140088,0.730388,0.062933,0.300566,0.045512,0.188255,0.610314,0.058080,0.120074,group,5,0.333333,0.787879,3,43560
decoder,3,all,content-pool,l_shaped,linear,0.820479,0.171164,0.934189,0.037598,0.528251,0.046628,0.292228,0.806172,0.027655,0.128017,group,5,0.500000,0.893939,2,43560
