layer_type,layer_index,subset,probe_site,property,probe_type,balanced_accuracy,balanced_std,accuracy,std,majority_baseline,n_classes,n_samples
ngram,1,all,src-content,stem_final_match,ngram-linear,0.593944,0.187402,0.837784,0.095812,0.895661,2,43560
ngram,1,all,src-content,conjugation,ngram-linear,0.603067,0.190376,0.709757,0.071554,0.787879,3,43560
ngram,1,all,src-content,l_shaped,ngram-linear,0.805888,0.188623,0.931252,0.041197,0.893939,2,43560
ngram,1,all,src-content,conjugation,ngram-lm,0.587952,0.147645,0.670480,0.099320,0.787879,3,43560
ngram,1,all,src-content,l_shaped,ngram-lm,0.762626,0.186926,0.887046,0.043195,0.893939,2,43560
ngram,2,all,src-content,stem_final_match,ngram-linear,0.533271,0.054284,0.894814,0.027652,0.895661,2,43560
ngram,2,all,src-content,conjugation,ngram-linear,0.487686,0.142376,0.770413,0.100005,0.787879,3,43560
ngram,2,all,src-content,l_shaped,ngram-linear,0.753994,0.194522,0.931036,0.044257,0.893939,2,43560
ngram,2,all,src-content,conjugation,ngram-lm,0.541377,0.097635,0.770296,0.037188,0.787879,3,43560
ngram,2,all,src-content,l_shaped,ngram-lm,0.607955,0.205901,0.863653,0.075563,0.893939,2,43560
ngram,3,all,src-content,stem_final_match,ngram-linear,0.517321,0.032888,0.891184,0.023774,0.895661,2,43560
ngram,3,all,src-content,conjugation,ngram-linear,0.436722,0.119373,0.779520,0.050055,0.787879,3,43560
ngram,3,all,src-content,l_shaped,ngram-linear,0.686869,0.186980,0.923843,0.050523,0.893939,2,43560
ngram,3,all,src-content,conjugation,ngram-lm,0.456042,0.106881,0.773743,0.033618,0.787879,3,43560
ngram,3,all,src-content,l_shaped,ngram-lm,0.659848,0.212349,0.905495,0.063597,0.893939,2,43560
ngram,1,all,tgt-content,stem_final_match,ngram-linear,0.604247,0.189709,0.849244,0.093866,0.895661,2,43560
ngram,1,all,tgt-content,conjugation,ngram-linear,0.553283,0.139090,0.720421,0.084771,0.787879,3,43560
ngram,1,all,tgt-content,l_shaped,ngram-linear,0.783838,0.181423,0.929579,0.048615,0.893939,2,43560
ngram,1,all,tgt-content,conjugation,ngram-lm,0.578737,0.143944,0.662637,0.102170,0.787879,3,43560
ngram,1,all,tgt-content,l_shaped,ngram-lm,0.756944,0.185340,0.876557,0.041786,0.893939,2,43560
ngram,2,all,tgt-content,stem_final_match,ngram-linear,0.556632,0.071455,0.899745,0.026092,0.895661,2,43560
ngram,2,all,tgt-content,conjugation,ngram-linear,0.476515,0.125326,0.790476,0.051417,0.787879,3,43560
ngram,2,all,tgt-content,l_shaped,ngram-linear,0.699179,0.156898,0.918773,0.040674,0.893939,2,43560
ngram,2,all,tgt-content,conjugation,ngram-lm,0.535606,0.097584,0.762729,0.043111,0.787879,3,43560
ngram,2,all,tgt-content,l_shaped,ngram-lm,0.621528,0.207498,0.861355,0.081267,0.893939,2,43560
ngram,3,all,tgt-content,stem_final_match,ngram-linear,0.515494,0.024264,0.896861,0.018956,0.895661,2,43560
ngram,3,all,tgt-content,conjugation,ngram-linear,0.483030,0.109663,0.796886,0.031213,0.787879,3,43560
ngram,3,all,tgt-content,l_shaped,ngram-linear,0.623611,0.129335,0.913828,0.046167,0.893939,2,43560
ngram,3,all,tgt-content,conjugation,ngram-lm,0.464646,0.104676,0.777747,0.032544,0.787879,3,43560
ngram,3,all,tgt-content,l_shaped,ngram-lm,0.649306,0.208079,0.902930,0.067985,0.893939,2,43560
ngram,1,all,all-content,stem_final_match,ngram-linear,0.578958,0.177673,0.809543,0.100185,0.895661,2,43560
ngram,1,all,all-content,conjugation,ngram-linear,0.622876,0.216900,0.721568,0.062660,0.787879,3,43560
ngram,1,all,all-content,l_shaped,ngram-linear,0.793939,0.178236,0.925829,0.021602,0.893939,2,43560
ngram,1,all,all-content,conjugation,ngram-lm,0.598482,0.158270,0.676239,0.095431,0.787879,3,43560
ngram,1,all,all-content,l_shaped,ngram-lm,0.764205,0.186830,0.889960,0.043117,0.893939,2,43560
ngram,2,all,all-content,stem_final_match,ngram-linear,0.549866,0.067645,0.891575,0.036238,0.895661,2,43560
ngram,2,all,all-content,conjugation,ngram-linear,0.495782,0.117209,0.767821,0.083929,0.787879,3,43560
ngram,2,all,all-content,l_shaped,ngram-linear,0.765557,0.190712,0.929461,0.039365,0.893939,2,43560
ngram,2,all,all-content,conjugation,ngram-lm,0.552840,0.103404,0.775250,0.039425,0.787879,3,43560
ngram,2,all,all-content,l_shaped,ngram-lm,0.593106,0.207655,0.861543,0.075126,0.893939,2,43560
ngram,3,all,all-content,stem_final_match,ngram-linear,0.525899,0.031074,0.884301,0.032861,0.895661,2,43560
ngram,3,all,all-content,conjugation,ngram-linear,0.420229,0.125655,0.775231,0.055070,0.787879,3,43560
ngram,3,all,all-content,l_shaped,ngram-linear,0.700139,0.216576,0.924038,0.055649,0.893939,2,43560
ngram,3,all,all-content,conjugation,ngram-lm,0.436449,0.119152,0.770305,0.029916,0.787879,3,43560
ngram,3,all,all-content,l_shaped,ngram-lm,0.653220,0.205059,0.907396,0.059613,0.893939,2,43560
