layer_type,layer_index,subset,probe_site,property,probe_type,balanced_accuracy,balanced_std,accuracy,std,majority_baseline,n_classes,n_samples
ngram,1,all,src-content,stem_final_match,ngram-linear,0.509774,0.104135,0.743196,0.113866,0.885675,2,43560
ngram,1,all,src-content,conjugation,ngram-linear,0.286483,0.081429,0.643323,0.097257,0.818182,3,43560
ngram,1,all,src-content,l_shaped,ngram-linear,0.521843,0.157730,0.771395,0.087342,0.893939,2,43560
ngram,1,all,src-content,conjugation,ngram-lm,0.284013,0.152889,0.476590,0.153614,0.818182,3,43560
ngram,1,all,src-content,l_shaped,ngram-lm,0.426825,0.133375,0.596603,0.108591,0.893939,2,43560
ngram,2,all,src-content,stem_final_match,ngram-linear,0.519936,0.041382,0.870238,0.015874,0.885675,2,43560
ngram,2,all,src-content,conjugation,ngram-linear,0.381451,0.100152,0.788095,0.045063,0.818182,3,43560
ngram,2,all,src-content,l_shaped,ngram-linear,0.497727,0.005381,0.885198,0.028050,0.893939,2,43560
ngram,2,all,src-content,conjugation,ngram-lm,0.317530,0.112982,0.595238,0.144621,0.818182,3,43560
ngram,2,all,src-content,l_shaped,ngram-lm,0.611329,0.155790,0.797269,0.052210,0.893939,2,43560
ngram,3,all,src-content,stem_final_match,ngram-linear,0.548594,0.048303,0.889610,0.025363,0.885675,2,43560
ngram,3,all,src-content,conjugation,ngram-linear,0.386410,0.094904,0.798868,0.034251,0.818182,3,43560
ngram,3,all,src-content,l_shaped,ngram-linear,0.499621,0.000758,0.893806,0.034620,0.893939,2,43560
ngram,3,all,src-content,conjugation,ngram-lm,0.348806,0.100007,0.697303,0.068286,0.818182,3,43560
ngram,3,all,src-content,l_shaped,ngram-lm,0.658460,0.168008,0.909940,0.045864,0.893939,2,43560
ngram,1,all,tgt-content,stem_final_match,ngram-linear,0.487997,0.044823,0.777078,0.088352,0.885675,2,43560
ngram,1,all,tgt-content,conjugation,ngram-linear,0.272020,0.076831,0.614652,0.090654,0.818182,3,43560
ngram,1,all,tgt-content,l_shaped,ngram-linear,0.473611,0.052549,0.778205,0.099108,0.893939,2,43560
ngram,1,all,tgt-content,conjugation,ngram-lm,0.282323,0.155120,0.472436,0.156620,0.818182,3,43560
ngram,1,all,tgt-content,l_shaped,ngram-lm,0.423801,0.142696,0.591484,0.095186,0.893939,2,43560
ngram,2,all,tgt-content,stem_final_match,ngram-linear,0.508834,0.012813,0.872727,0.025419,0.885675,2,43560
ngram,2,all,tgt-content,conjugation,ngram-linear,0.345960,0.061046,0.762729,0.024350,0.818182,3,43560
ngram,2,all,tgt-content,l_shaped,ngram-linear,0.497917,0.009967,0.877015,0.036227,0.893939,2,43560
ngram,2,all,tgt-content,conjugation,ngram-lm,0.304848,0.097672,0.587637,0.133253,0.818182,3,43560
ngram,2,all,tgt-content,l_shaped,ngram-lm,0.597033,0.138741,0.786264,0.046205,0.893939,2,43560
ngram,3,all,tgt-content,stem_final_match,ngram-linear,0.528387,0.029743,0.887013,0.026511,0.885675,2,43560
ngram,3,all,tgt-content,conjugation,ngram-linear,0.347980,0.050792,0.780311,0.020018,0.818182,3,43560
ngram,3,all,tgt-content,l_shaped,ngram-linear,0.496528,0.005379,0.888095,0.031127,0.893939,2,43560
ngram,3,all,tgt-content,conjugation,ngram-lm,0.345707,0.085674,0.710073,0.058764,0.818182,3,43560
ngram,3,all,tgt-content,l_shaped,ngram-lm,0.655556,0.144244,0.904579,0.040482,0.893939,2,43560
ngram,1,all,all-content,stem_final_match,ngram-linear,0.514879,0.124217,0.726006,0.131413,0.885675,2,43560
ngram,1,all,all-content,conjugation,ngram-linear,0.287455,0.087745,0.642997,0.108348,0.818182,3,43560
ngram,1,all,all-content,l_shaped,ngram-linear,0.513939,0.165246,0.754590,0.085474,0.893939,2,43560
ngram,1,all,all-content,conjugation,ngram-lm,0.285526,0.153348,0.480060,0.157077,0.818182,3,43560
ngram,1,all,all-content,l_shaped,ngram-lm,0.428567,0.132772,0.599740,0.108978,0.893939,2,43560
ngram,2,all,all-content,stem_final_match,ngram-linear,0.538202,0.069325,0.849903,0.026658,0.885675,2,43560
ngram,2,all,all-content,conjugation,ngram-linear,0.398489,0.123314,0.781738,0.063792,0.818182,3,43560
ngram,2,all,all-content,l_shaped,ngram-linear,0.502311,0.009604,0.890325,0.032243,0.893939,2,43560
ngram,2,all,all-content,conjugation,ngram-lm,0.322039,0.119418,0.594306,0.143034,0.818182,3,43560
ngram,2,all,all-content,l_shaped,ngram-lm,0.626133,0.164974,0.795719,0.055212,0.893939,2,43560
ngram,3,all,all-content,stem_final_match,ngram-linear,0.580765,0.079327,0.883730,0.028880,0.885675,2,43560
ngram,3,all,all-content,conjugation,ngram-linear,0.386455,0.098479,0.807726,0.034733,0.818182,3,43560
ngram,3,all,all-content,l_shaped,ngram-linear,0.500000,0.000000,0.894505,0.035165,0.893939,2,43560
ngram,3,all,all-content,conjugation,ngram-lm,0.347493,0.099250,0.696339,0.071332,0.818182,3,43560
ngram,3,all,all-content,l_shaped,ngram-lm,0.651086,0.179932,0.910306,0.046239,0.893939,2,43560
