layer_type,layer_index,frac_classified_L,mean_p_L,n_items
encoder,0,0.0,7.29626355278068e-07,120
encoder,1,0.0,2.0581708638353623e-05,120
encoder,2,0.0,2.134378525401696e-08,120
encoder,3,0.0,0.0006426525204872394,120
decoder,0,0.016666666666666666,0.013513286108170215,120
decoder,1,0.03333333333333333,0.025781984440707985,120
decoder,2,0.1,0.09947057680449649,120
decoder,3,0.075,0.07559869423559694,120
