layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,selectivity,raw_accuracy,majority_baseline,n_folds,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
encoder,0,stemfinal_same,linear,0.44340264204005686,0.12961147249258254,0.5,-0.05659735795994314,0.7887361708715898,0.9755054432348367,5,38580,945,37635,7,59
encoder,0,stemfinal_same,mlp,0.44889785760308937,0.03628349491034899,0.4996137625245728,-0.05071590492148342,0.8684754742224955,0.9755054432348367,5,38580,945,37635,7,59
encoder,0,stemfinal_differ,linear,0.3831818181818182,0.21228154114031503,0.49363178719603973,-0.11044996901422155,0.3909038107482195,0.7379518072289156,5,4980,3675,1305,7,6
encoder,0,stemfinal_differ,mlp,0.5293392857142857,0.16847836792651952,0.4998809470258454,0.029458338688440278,0.5048858175433536,0.7379518072289156,5,4980,3675,1305,7,6
encoder,0,all,linear,0.5783207070707072,0.16141505006002071,0.5,0.07832070707070715,0.8028837828837829,0.8939393939393939,5,43560,4620,38940,7,59
encoder,0,all,mlp,0.4612247474747474,0.08633778372875898,0.5003048584058419,-0.039080110931094536,0.7653296703296704,0.8939393939393939,5,43560,4620,38940,7,59
encoder,1,stemfinal_same,linear,0.44350225863868264,0.11037812916674573,0.5,-0.056497741361317355,0.7971358706309479,0.9755054432348367,5,38580,945,37635,7,59
encoder,1,stemfinal_same,mlp,0.4802081634913459,0.06390497907948203,0.4999465804680006,-0.019738416976654738,0.8898171420735217,0.9755054432348367,5,38580,945,37635,7,59
encoder,1,stemfinal_differ,linear,0.39333874458874457,0.16856844950586816,0.5069344817219271,-0.11359573713318255,0.3921191764150122,0.7379518072289156,5,4980,3675,1305,7,6
encoder,1,stemfinal_differ,mlp,0.5143344155844156,0.15447370503037275,0.4925279577667066,0.021806457817709013,0.49561611666502925,0.7379518072289156,5,4980,3675,1305,7,6
encoder,1,all,linear,0.5614015151515152,0.17094537730138296,0.4998887617430146,0.06151275340850054,0.7793889443889443,0.8939393939393939,5,43560,4620,38940,7,59
encoder,1,all,mlp,0.5213636363636364,0.1641608603476934,0.4999878875968992,0.021375748766737146,0.7953812853812854,0.8939393939393939,5,43560,4620,38940,7,59
encoder,2,stemfinal_same,linear,0.4799103989692698,0.09962723841304098,0.5,-0.02008960103073021,0.7803216466836926,0.9755054432348367,5,38580,945,37635,7,59
encoder,2,stemfinal_same,mlp,0.5555897584013114,0.18749047931488963,0.49990716180371353,0.05568259659759789,0.8933591181050851,0.9755054432348367,5,38580,945,37635,7,59
encoder,2,stemfinal_differ,linear,0.4239859307359307,0.15399931343802378,0.48818582156891155,-0.06419989083298083,0.4301633932774189,0.7379518072289156,5,4980,3675,1305,7,6
encoder,2,stemfinal_differ,mlp,0.507754329004329,0.14609268138776943,0.5017523731006996,0.006001955903629397,0.4966037709860169,0.7379518072289156,5,4980,3675,1305,7,6
