layer_type,layer_index,subset,property,probe_type,balanced_accuracy,control_balanced_accuracy,selectivity,n_samples
encoder,0,all,stem_final_match,linear,0.4698178638020273,0.5009083339492404,-0.031090470147213112,43560
encoder,0,all,conjugation,linear,0.3156060606060606,0.34470835629017443,-0.02910229568411382,43560
encoder,0,all,l_shaped,linear,0.4912121212121212,0.5203797061524333,-0.02916758494031213,43560
encoder,0,stemfinal_same,l_shaped,linear,0.5267468088271332,0.4673647654316383,0.05938204339549491,38580
encoder,1,all,stem_final_match,linear,0.5077747297712947,0.49979260815095383,0.007982121620340843,43560
encoder,1,all,conjugation,linear,0.2825812672176309,0.3201900826446281,-0.03760881542699723,43560
encoder,1,all,l_shaped,linear,0.5814015151515152,0.5205229568411386,0.060878558310376585,43560
encoder,1,stemfinal_same,l_shaped,linear,0.5148810183891575,0.558422380444438,-0.043541362055280586,38580
encoder,2,all,stem_final_match,linear,0.482760882175911,0.4998289965098376,-0.017068114333926576,43560
encoder,2,all,conjugation,linear,0.29188797061524335,0.32475959595959597,-0.03287162534435262,43560
encoder,2,all,l_shaped,linear,0.5682828282828283,0.5028250688705235,0.0654577594123048,43560
encoder,2,stemfinal_same,l_shaped,linear,0.5249551020585532,0.5230160410885263,0.0019390609700269401,38580
encoder,3,all,stem_final_match,linear,0.491129872313928,0.500731750487325,-0.009601878173396972,43560
encoder,3,all,conjugation,linear,0.2892791551882461,0.3670203856749311,-0.07774123048668502,43560
encoder,3,all,l_shaped,linear,0.5761248852157943,0.46574242424242424,0.11038246097337007,43560
encoder,3,stemfinal_same,l_shaped,linear,0.5283735909822866,0.45527755814062204,0.0730960328416646,38580
decoder,0,all,stem_final_match,linear,0.5882792038372997,0.4996180544219572,0.08866114941534248,43560
decoder,0,all,conjugation,linear,0.30098255280073466,0.33053994490358124,-0.02955739210284658,43560
decoder,0,all,l_shaped,linear,0.6374368686868687,0.5120257116620752,0.12541115702479344,43560
decoder,0,stemfinal_same,l_shaped,linear,0.6032186482321037,0.49511408893997266,0.10810455929213103,38580
decoder,1,all,stem_final_match,linear,0.5886570399477604,0.5000446403246495,0.08861239962311096,43560
decoder,1,all,conjugation,linear,0.3616749311294766,0.35662571166207535,0.0050492194674012225,43560
decoder,1,all,l_shaped,linear,0.6006095041322315,0.4914416896235078,0.10916781450872365,43560
decoder,1,stemfinal_same,l_shaped,linear,0.5833086631153106,0.5013950208482127,0.08191364226709785,38580
decoder,2,all,stem_final_match,linear,0.609257720886825,0.49979222761936376,0.10946549326746119,43560
decoder,2,all,conjugation,linear,0.3261019283746557,0.3555904499540864,-0.029488521579430715,43560
decoder,2,all,l_shaped,linear,0.6015495867768594,0.48709274563820015,0.11445684113865928,43560
decoder,2,stemfinal_same,l_shaped,linear,0.5472635323194773,0.5023778675648645,0.044885664754612864,38580
decoder,3,all,stem_final_match,linear,0.6309664030275621,0.5001237623828064,0.1308426406447557,43560
decoder,3,all,conjugation,linear,0.36735169880624424,0.3170887052341598,0.05026299357208447,43560
decoder,3,all,l_shaped,linear,0.6027628558310376,0.49170454545454545,0.11105831037649216,43560
decoder,3,stemfinal_same,l_shaped,linear,0.5684986050864046,0.511894454846773,0.05660415023963161,38580
