layer_type,layer_index,subset,property,probe_type,balanced_accuracy,control_balanced_accuracy,selectivity,n_samples
encoder,0,all,stem_final_match,linear,0.5888187672590783,0.5008857719084358,0.08793299535064258,43560
encoder,0,all,conjugation,linear,0.599265381083563,0.3515992653810835,0.24766611570247948,43560
encoder,0,all,l_shaped,linear,0.8075080348943986,0.5052777777777778,0.30223025711662077,43560
encoder,0,stemfinal_same,l_shaped,linear,0.8503499707974349,0.5098116743946793,0.34053829640275557,39015
encoder,1,all,stem_final_match,linear,0.5958023503691783,0.5000178821031671,0.09578446826601117,43560
encoder,1,all,conjugation,linear,0.6895123966942149,0.30506850321395773,0.3844438934802572,43560
encoder,1,all,l_shaped,linear,0.8687626262626262,0.4532708907254362,0.41549173553719004,43560
encoder,1,stemfinal_same,l_shaped,linear,0.8891996039571589,0.5457932169930233,0.3434063869641356,39015
encoder,2,all,stem_final_match,linear,0.6465589068130972,0.5001394577451002,0.1464194490679971,43560
encoder,2,all,conjugation,linear,0.6297089072543618,0.32477171717171716,0.30493719008264464,43560
encoder,2,all,l_shaped,linear,0.8275,0.5073567493112947,0.3201432506887053,43560
encoder,2,stemfinal_same,l_shaped,linear,0.8396969660293243,0.46682855247500826,0.37286841355431605,39015
encoder,3,all,stem_final_match,linear,0.6413457405442247,0.4994960432218237,0.14184969732240094,43560
encoder,3,all,conjugation,linear,0.6603103764921947,0.3474435261707989,0.31286685032139583,43560
encoder,3,all,l_shaped,linear,0.7811570247933884,0.5397548209366391,0.24140220385674938,43560
encoder,3,stemfinal_same,l_shaped,linear,0.8368556803498137,0.5075158657703711,0.3293398145794426,39015
decoder,0,all,stem_final_match,linear,0.7020819935137762,0.5000272243678376,0.20205476914593856,43560
decoder,0,all,conjugation,linear,0.6270459136822775,0.33435977961432506,0.2926861340679524,43560
decoder,0,all,l_shaped,linear,0.7507862718089992,0.5368202479338843,0.21396602387511487,43560
decoder,0,stemfinal_same,l_shaped,linear,0.8142607202166682,0.49473107633046887,0.3195296438861993,39015
decoder,1,all,stem_final_match,linear,0.6833629247689161,0.5003634332256859,0.18299949154323025,43560
decoder,1,all,conjugation,linear,0.6989467401285583,0.3335180899908173,0.365428650137741,43560
decoder,1,all,l_shaped,linear,0.8274690082644629,0.5078999081726354,0.3195691000918275,43560
decoder,1,stemfinal_same,l_shaped,linear,0.8229167050459573,0.49533512254530976,0.3275815825006475,39015
decoder,2,all,stem_final_match,linear,0.6528879519134799,0.4999277389010284,0.15296021301245155,43560
decoder,2,all,conjugation,linear,0.699295684113866,0.31779559228650134,0.38150009182736466,43560
decoder,2,all,l_shaped,linear,0.8545408631772269,0.49965082644628095,0.35489003673094593,43560
decoder,2,stemfinal_same,l_shaped,linear,0.8555408035726634,0.5033487426298111,0.35219206094285227,39015
decoder,3,all,stem_final_match,linear,0.7082675057086577,0.49993291058830047,0.20833459512035724,43560
decoder,3,all,conjugation,linear,0.7205215794306704,0.3197283746556474,0.400793204775023,43560
decoder,3,all,l_shaped,linear,0.8612201561065197,0.4775316804407714,0.3836884756657483,43560
decoder,3,stemfinal_same,l_shaped,linear,0.8465896425477032,0.5089979540911769,0.3375916884565263,39015
