layer_type,layer_index,subset,property,probe_type,balanced_accuracy,control_balanced_accuracy,selectivity,n_samples
encoder,0,all,stem_final_match,linear,0.6035843405289925,0.5011377789058848,0.10244656162310761,43560
encoder,0,all,conjugation,linear,0.387070707070707,0.33072855831037645,0.05634214876033056,43560
encoder,0,all,l_shaped,linear,0.7386707988980716,0.5617695133149678,0.1769012855831038,43560
encoder,0,stemfinal_same,l_shaped,linear,0.6857357925964436,0.4489572226625532,0.23677856993389035,38580
encoder,1,all,stem_final_match,linear,0.6760484524590092,0.5001391385903318,0.17590931386867747,43560
encoder,1,all,conjugation,linear,0.36308999081726345,0.30203581267217633,0.061054178145087123,43560
encoder,1,all,l_shaped,linear,0.7846567952249771,0.5265596877869605,0.2580971074380166,43560
encoder,1,stemfinal_same,l_shaped,linear,0.6664970706136295,0.5241669289602486,0.14233014165338087,38580
encoder,2,all,stem_final_match,linear,0.6272112016115052,0.49913210976843125,0.12807909184307398,43560
encoder,2,all,conjugation,linear,0.3899944903581267,0.305557943067034,0.08443654729109273,43560
encoder,2,all,l_shaped,linear,0.8410720844811752,0.561010101010101,0.28006198347107425,43560
encoder,2,stemfinal_same,l_shaped,linear,0.7582562268864528,0.5363328560664492,0.22192337082000357,38580
encoder,3,all,stem_final_match,linear,0.6032984675130276,0.5005008004665498,0.10279766704647786,43560
encoder,3,all,conjugation,linear,0.3623966942148761,0.372900826446281,-0.010504132231404895,43560
encoder,3,all,l_shaped,linear,0.8211753902662995,0.48096441689623515,0.34021097337006434,43560
encoder,3,stemfinal_same,l_shaped,linear,0.7064202905835131,0.4486299493554662,0.2577903412280469,38580
decoder,0,all,stem_final_match,linear,0.6408578303846773,0.5002112440285891,0.14064658635608818,43560
decoder,0,all,conjugation,linear,0.48705876951331495,0.31834802571166204,0.1687107438016529,43560
decoder,0,all,l_shaped,linear,0.9410915977961434,0.5003202479338843,0.4407713498622591,43560
decoder,0,stemfinal_same,l_shaped,linear,0.8941871426878759,0.5170751190114822,0.37711202367639374,38580
decoder,1,all,stem_final_match,linear,0.7261664010916519,0.5001544476027376,0.22601195348891423,43560
decoder,1,all,conjugation,linear,0.5823820018365473,0.38048815426997246,0.20189384756657486,43560
decoder,1,all,l_shaped,linear,0.8851939853076217,0.507483930211203,0.37771005509641875,43560
decoder,1,stemfinal_same,l_shaped,linear,0.8730313295949852,0.4826296607794549,0.3904016688155303,38580
decoder,2,all,stem_final_match,linear,0.7612658698096845,0.49999473268287564,0.26127113712680883,43560
decoder,2,all,conjugation,linear,0.7886409550045913,0.3477862258953168,0.4408547291092745,43560
decoder,2,all,l_shaped,linear,0.8517389807162534,0.4686443985307622,0.38309458218549125,43560
decoder,2,stemfinal_same,l_shaped,linear,0.8746129942375,0.48292360663061873,0.3916893876068813,38580
decoder,3,all,stem_final_match,linear,0.7991505912988165,0.49999151014505383,0.29915908115376266,43560
decoder,3,all,conjugation,linear,0.7774012855831037,0.3561651056014693,0.42123617998163443,43560
decoder,3,all,l_shaped,linear,0.8255693296602388,0.4932846648301193,0.3322846648301195,43560
decoder,3,stemfinal_same,l_shaped,linear,0.847589864924909,0.5132234331631358,0.33436643176177316,38580
