layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,selectivity,raw_accuracy,majority_baseline,n_folds,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
encoder,0,stemfinal_same,linear,0.7820577548918132,0.18891413268374016,0.5,0.2820577548918132,0.943910826947676,0.962322183775471,5,39015,1470,37545,7,59
encoder,0,stemfinal_same,mlp,0.7940210367193916,0.19861964428284673,0.49997366341848826,0.29404737330090336,0.9237403712709075,0.962322183775471,5,39015,1470,37545,7,59
encoder,0,stemfinal_differ,linear,0.6892683982683983,0.17077512897067265,0.5010777250962622,0.188190673172136,0.7243971882568374,0.693069306930693,5,4545,3150,1395,6,6
encoder,0,stemfinal_differ,mlp,0.7427142857142858,0.20536630621377783,0.5042313042367026,0.23848298147758318,0.7810116762163546,0.693069306930693,5,4545,3150,1395,6,6
encoder,0,all,linear,0.791060606060606,0.16447375349184176,0.5,0.291060606060606,0.9149217449217449,0.8939393939393939,5,43560,4620,38940,7,59
encoder,0,all,mlp,0.7580693296602388,0.15669286846476727,0.5,0.25806932966023877,0.8825124875124877,0.8939393939393939,5,43560,4620,38940,7,59
encoder,1,stemfinal_same,linear,0.7572758870848009,0.22948172953330864,0.5003326267082052,0.25694326037659565,0.9684633553441866,0.962322183775471,5,39015,1470,37545,7,59
encoder,1,stemfinal_same,mlp,0.765539570296025,0.2360635302970832,0.4996248157577382,0.26591475453828683,0.9499767909473917,0.962322183775471,5,39015,1470,37545,7,59
encoder,1,stemfinal_differ,linear,0.7469090909090909,0.21589816630891212,0.4873251278943778,0.25958396301471304,0.7792105853860238,0.693069306930693,5,4545,3150,1395,6,6
encoder,1,stemfinal_differ,mlp,0.697134199134199,0.16977499840493074,0.4983285815072332,0.19880561762696586,0.7405970819304152,0.693069306930693,5,4545,3150,1395,6,6
encoder,1,all,linear,0.8215266299357207,0.18024785110299,0.5,0.3215266299357207,0.944035964035964,0.8939393939393939,5,43560,4620,38940,7,59
encoder,1,all,mlp,0.7095190541781451,0.19612771385512373,0.5000965675791829,0.20942248659896223,0.904905094905095,0.8939393939393939,5,43560,4620,38940,7,59
encoder,2,stemfinal_same,linear,0.8361259693134027,0.19498342473045135,0.5018504386072885,0.33427553070611415,0.956176359917488,0.962322183775471,5,39015,1470,37545,7,59
encoder,2,stemfinal_same,mlp,0.7824295609667092,0.2137821699842394,0.4998779714550666,0.2825515895116426,0.9420848517633515,0.962322183775471,5,39015,1470,37545,7,59
encoder,2,stemfinal_differ,linear,0.8931428571428572,0.18214459382925557,0.49797394494542785,0.3951689121974294,0.9582252151141042,0.693069306930693,5,4545,3150,1395,6,6
encoder,2,stemfinal_differ,mlp,0.840995670995671,0.18207301457178646,0.504891329313834,0.336104341681837,0.9133255360623782,0.693069306930693,5,4545,3150,1395,6,6
encoder,2,all,linear,0.8647853535353536,0.15931568016146966,0.49961640492451503,0.36516894861083854,0.941998001998002,0.8939393939393939,5,43560,4620,38940,7,59
encoder,2,all,mlp,0.7070592286501378,0.19168324184650568,0.4998529636387759,0.2072062650113619,0.889891774891775,0.8939393939393939,5,43560,4620,38940,7,59
encoder,3,stemfinal_same,linear,0.8535932854952725,0.12788326239779735,0.49998683517640863,0.35360645031886384,0.9652758249785525,0.962322183775471,5,39015,1470,37545,7,59
encoder,3,stemfinal_same,mlp,0.8035470904321595,0.18796725423602895,0.49965696056796693,0.3038901298641926,0.9644403089276571,0.962322183775471,5,39015,1470,37545,7,59
encoder,3,stemfinal_differ,linear,0.893021645021645,0.12925528163749275,0.4985799197313396,0.39444172529030547,0.8776061590564515,0.693069306930693,5,4545,3150,1395,6,6
encoder,3,stemfinal_differ,mlp,0.8555844155844156,0.1667471959271352,0.499863155244822,0.35572126033959356,0.9126650520802567,0.693069306930693,5,4545,3150,1395,6,6
encoder,3,all,linear,0.9246085858585857,0.07172680081893242,0.5000579945152117,0.42455059134337403,0.9578088578088579,0.8939393939393939,5,43560,4620,38940,7,59
encoder,3,all,mlp,0.7834814049586777,0.13819311287164524,0.49821297558930117,0.2852684293693765,0.9296253746253746,0.8939393939393939,5,43560,4620,38940,7,59
decoder,0,stemfinal_same,linear,0.7788390654543302,0.23630023459170518,0.49996037511557256,0.2788786903387577,0.9694869856130083,0.962322183775471,5,39015,1470,37545,7,59
decoder,0,stemfinal_same,mlp,0.7600412535849661,0.21877841754813873,0.5000587557735166,0.25998249781144955,0.9703018383432692,0.962322183775471,5,39015,1470,37545,7,59
decoder,0,stemfinal_differ,linear,0.8150952380952381,0.16289129928504528,0.514974727416449,0.3001205106787891,0.8728644731919586,0.693069306930693,5,4545,3150,1395,6,6
decoder,0,stemfinal_differ,mlp,0.880030303030303,0.12405374423734851,0.5174652368629452,0.36256506616735784,0.9143147655896193,0.693069306930693,5,4545,3150,1395,6,6
decoder,0,all,linear,0.7274253902662993,0.16147395730478092,0.5,0.22742539026629927,0.90978021978022,0.8939393939393939,5,43560,4620,38940,7,59
decoder,0,all,mlp,0.7129315886134068,0.18095397260962504,0.5007446080567752,0.21218698055663154,0.9178171828171827,0.8939393939393939,5,43560,4620,38940,7,59
decoder,1,stemfinal_same,linear,0.811167504384627,0.17505679805244792,0.49957993966231556,0.31158756472231147,0.9724117598974935,0.962322183775471,5,39015,1470,37545,7,59
decoder,1,stemfinal_same,mlp,0.8093560201604909,0.17663644362548045,0.500515360373124,0.30884065978736686,0.9693655009488168,0.962322183775471,5,39015,1470,37545,7,59
decoder,1,stemfinal_differ,linear,0.8869264069264069,0.1270671514627843,0.48966392536374703,0.39726248156265986,0.9008754208754208,0.693069306930693,5,4545,3150,1395,6,6
decoder,1,stemfinal_differ,mlp,0.8805541125541125,0.12332968317956468,0.5017712193380593,0.3787828932160532,0.9002658160552898,0.693069306930693,5,4545,3150,1395,6,6
decoder,1,all,linear,0.8132265840220386,0.15235536447235143,0.5,0.3132265840220386,0.9183250083250083,0.8939393939393939,5,43560,4620,38940,7,59
decoder,1,all,mlp,0.792584940312213,0.17382850556615786,0.49956405351225586,0.2930208867999572,0.9244871794871795,0.8939393939393939,5,43560,4620,38940,7,59
decoder,2,stemfinal_same,linear,0.862943500464494,0.18556644499929648,0.5,0.362943500464494,0.9728750082766264,0.962322183775471,5,39015,1470,37545,7,59
decoder,2,stemfinal_same,mlp,0.8297013549939118,0.1812937527150779,0.49945708717701826,0.3302442678168936,0.9750483734150903,0.962322183775471,5,39015,1470,37545,7,59
decoder,2,stemfinal_differ,linear,0.7826623376623376,0.2347919145065109,0.5001271109962133,0.2825352266661243,0.8272709157855356,0.693069306930693,5,4545,3150,1395,6,6
decoder,2,stemfinal_differ,mlp,0.7960129870129871,0.2544555147817193,0.5154459910574236,0.28056699595556345,0.8389305924744521,0.693069306930693,5,4545,3150,1395,6,6
decoder,2,all,linear,0.8579924242424243,0.1951834049691455,0.49921430578160486,0.3587781184608194,0.9419530469530469,0.8939393939393939,5,43560,4620,38940,7,59
decoder,2,all,mlp,0.8106600091827365,0.1828822949001868,0.49969525573678836,0.31096475344594815,0.9243489843489844,0.8939393939393939,5,43560,4620,38940,7,59
decoder,3,stemfinal_same,linear,0.8342658148166431,0.19446876974970076,0.5,0.3342658148166431,0.971803340018749,0.962322183775471,5,39015,1470,37545,7,59
decoder,3,stemfinal_same,mlp,0.8126506142364068,0.18837926727787807,0.4998789020452099,0.3127717121911969,0.9674931399164388,0.962322183775471,5,39015,1470,37545,7,59
decoder,3,stemfinal_differ,linear,0.804082251082251,0.18948134215769197,0.49605356980709736,0.3080286812751536,0.8131808533679878,0.693069306930693,5,4545,3150,1395,6,6
decoder,3,stemfinal_differ,mlp,0.7646450216450217,0.20840959040639798,0.5061253025144261,0.25851971913059557,0.8097648610864985,0.693069306930693,5,4545,3150,1395,6,6
decoder,3,all,linear,0.810548668503214,0.1792268733275921,0.4997698675719027,0.3107788009313113,0.9123310023310023,0.8939393939393939,5,43560,4620,38940,7,59
decoder,3,all,mlp,0.753853305785124,0.1636769082355839,0.4999433722441082,0.2539099335410158,0.8994455544455544,0.8939393939393939,5,43560,4620,38940,7,59
