layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,control_balanced_std,selectivity,raw_accuracy,majority_baseline,n_folds,n_controls,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
encoder,0,stemfinal_same,linear,0.7818418441745264,0.223140154354551,0.5374853938255029,0.037004516313695716,0.24435645034902354,0.932293767226492,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,0,stemfinal_same,mlp,0.7841899111628555,0.2283594042999076,0.5346799919266856,0.058227863024642154,0.24950991923616994,0.9405111687247594,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,0,stemfinal_differ,linear,0.7504242424242425,0.20594457499316662,0.531954922496858,0.19661027430488406,0.2184693199273845,0.7908627010849233,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,0,stemfinal_differ,mlp,0.7773333333333333,0.22565653269581923,0.4158948750174557,0.14257322985529566,0.3614384583158776,0.8186644613779116,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,0,all,linear,0.7509217171717172,0.1709609462370023,0.46313200183654735,0.029602419024865906,0.28778971533516984,0.9113086913086914,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,0,all,mlp,0.7498668503213957,0.17860728954532626,0.4658296602387512,0.03248634009854665,0.28403719008264444,0.9015184815184816,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,1,stemfinal_same,linear,0.7948922644850253,0.1901418071054214,0.4873741931740733,0.0432170902932391,0.30751807131095193,0.9562350135830651,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,1,stemfinal_same,mlp,0.7766398900217519,0.23710541816148326,0.522510795939274,0.05794937225595025,0.25412909408247797,0.9438483733438765,0.962322183775471,5,5,39015,1470,37545,7,59
encoder,1,stemfinal_differ,linear,0.8099826839826839,0.1898049321224719,0.6832883954754922,0.15318742584847,0.12669428850719167,0.7818558292476421,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,1,stemfinal_differ,mlp,0.6854025974025973,0.2984232737721572,0.50332984220081,0.13529307976252822,0.18207275520178734,0.7016162403764743,0.693069306930693,5,5,4545,3150,1395,6,6
encoder,1,all,linear,0.8160491276400368,0.17560134960213347,0.5217190082644627,0.05447550638262316,0.2943301193755741,0.9344089244089243,0.8939393939393939,5,5,43560,4620,38940,7,59
