layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,selectivity,raw_accuracy,majority_baseline,n_folds,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
encoder,0,stemfinal_same,linear,0.48530904027930777,0.11366218186482706,0.5,-0.014690959720692232,0.8398962701653756,0.9614931237721022,5,38175,1470,36705,7,59
encoder,0,stemfinal_same,mlp,0.4878703780943862,0.02891175333332743,0.5,-0.012129621905613786,0.9087965761168638,0.9614931237721022,5,38175,1470,36705,7,59
encoder,0,stemfinal_differ,linear,0.7766113671274961,0.1617875439110583,0.5053531220261279,0.2712582451013682,0.747317678059366,0.584958217270195,5,5385,3150,2235,6,10
encoder,0,stemfinal_differ,mlp,0.8431121351766514,0.09333347268434655,0.4995038084447401,0.3436083267319113,0.8199658994032395,0.584958217270195,5,5385,3150,2235,6,10
encoder,0,all,linear,0.6326251147842057,0.2583157350799252,0.49935863633187,0.1332664784523357,0.8155661005661006,0.8939393939393939,5,43560,4620,38940,7,59
encoder,0,all,mlp,0.6634722222222222,0.1993473658163881,0.5000641677628315,0.16340805445939077,0.8196453546453547,0.8939393939393939,5,43560,4620,38940,7,59
encoder,1,stemfinal_same,linear,0.48176375006511324,0.12047965239376154,0.5030252275351833,-0.021261477470070067,0.8327212684221885,0.9614931237721022,5,38175,1470,36705,7,59
encoder,1,stemfinal_same,mlp,0.592905777104061,0.13994428063038478,0.49982345745494194,0.09308231964911906,0.9201495821345427,0.9614931237721022,5,38175,1470,36705,7,59
encoder,1,stemfinal_differ,linear,0.7831827956989248,0.16116804446898045,0.4972262291975998,0.285956566501325,0.7577568524115839,0.584958217270195,5,5385,3150,2235,6,10
encoder,1,stemfinal_differ,mlp,0.8894254992319508,0.07307840087688246,0.49686731009194096,0.39255818914000984,0.8742346741067969,0.584958217270195,5,5385,3150,2235,6,10
encoder,1,all,linear,0.6211707988980716,0.24367103155812594,0.49917646587838205,0.12199433301968954,0.7849117549117549,0.8939393939393939,5,43560,4620,38940,7,59
encoder,1,all,mlp,0.6457747933884297,0.20942536149037888,0.4999273519796585,0.1458474414087712,0.8359124209124209,0.8939393939393939,5,43560,4620,38940,7,59
encoder,2,stemfinal_same,linear,0.5570433264178744,0.16829999270328608,0.5,0.05704332641787435,0.8489741055926693,0.9614931237721022,5,38175,1470,36705,7,59
encoder,2,stemfinal_same,mlp,0.5999484674840266,0.1816859027547016,0.4996371026751286,0.10031136480889802,0.909531370023888,0.9614931237721022,5,38175,1470,36705,7,59
encoder,2,stemfinal_differ,linear,0.7998494623655914,0.16922705675957214,0.4955557755354924,0.304293686830099,0.7861055568472448,0.584958217270195,5,5385,3150,2235,6,10
encoder,2,stemfinal_differ,mlp,0.9195084485407066,0.06763212098757854,0.5022756138543032,0.4172328346864034,0.9174318633909426,0.584958217270195,5,5385,3150,2235,6,10
