layer_type,layer_index,subset,probe_type,balanced_accuracy,balanced_std,control_balanced_accuracy,control_balanced_std,selectivity,raw_accuracy,majority_baseline,n_folds,n_controls,n_samples,n_L,n_NL,n_L_lemmas,n_NL_lemmas
encoder,0,stemfinal_same,linear,0.4908695614861866,0.11565751741689743,0.42019520501251595,0.043061981584664934,0.07067435647367065,0.8508577678705311,0.9614931237721022,5,5,38175,1470,36705,7,59
encoder,0,stemfinal_same,mlp,0.5147106361082542,0.0695680289822584,0.5070249172877939,0.0387798142073921,0.007685718820460319,0.8961785487633203,0.9614931237721022,5,5,38175,1470,36705,7,59
encoder,0,stemfinal_differ,linear,0.7469923195084485,0.16968849747994966,0.548996086075769,0.13607091304740537,0.19799623343267947,0.7169136376553257,0.584958217270195,5,5,5385,3150,2235,6,10
encoder,0,stemfinal_differ,mlp,0.7908909370199693,0.18879044490197533,0.5147638000031758,0.25430025057762246,0.2761271370167935,0.7818016481955101,0.584958217270195,5,5,5385,3150,2235,6,10
encoder,0,all,linear,0.6955808080808081,0.24035830895669488,0.5073110651974289,0.06066285868893833,0.18826974288337928,0.8575474525474526,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,0,all,mlp,0.592106290174472,0.206895033765719,0.4656131772268136,0.03396065273565433,0.12649311294765841,0.8208191808191808,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,1,stemfinal_same,linear,0.5655895391659167,0.1387975160991251,0.4992801620617177,0.03742290148218042,0.06630937710419899,0.8625270767438732,0.9614931237721022,5,5,38175,1470,36705,7,59
encoder,1,stemfinal_same,mlp,0.5503161903498904,0.109029891043199,0.5124761663493564,0.0741081496295175,0.03784002400053399,0.9206456151910652,0.9614931237721022,5,5,38175,1470,36705,7,59
encoder,1,stemfinal_differ,linear,0.7572780337941628,0.21829830416939475,0.7444371039588431,0.04705872661496089,0.012840929835319703,0.7458288770053476,0.584958217270195,5,5,5385,3150,2235,6,10
encoder,1,stemfinal_differ,mlp,0.8117572964669739,0.16018137376426989,0.3934047793023119,0.08224951681023396,0.41835251716466204,0.802565811568369,0.584958217270195,5,5,5385,3150,2235,6,10
encoder,1,all,linear,0.6876320018365473,0.23002031391268843,0.5168466483011939,0.05561564192267986,0.1707853535353534,0.8288361638361639,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,1,all,mlp,0.6583976124885215,0.19688314907244317,0.4765417814508724,0.030903285077594336,0.18185583103764907,0.8433300033300032,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,2,stemfinal_same,linear,0.5687092912150502,0.13631918218665104,0.5229120990094772,0.058800081941577535,0.04579719220557299,0.8643752183205378,0.9614931237721022,5,5,38175,1470,36705,7,59
encoder,2,stemfinal_same,mlp,0.6388873838825451,0.1938040918413874,0.5186005791904866,0.05252011482918032,0.12028680469205844,0.921755155539864,0.9614931237721022,5,5,38175,1470,36705,7,59
encoder,2,stemfinal_differ,linear,0.7833732718894009,0.20812824001384178,0.49839389157190955,0.07232648898529631,0.2849793803174913,0.7775460487225193,0.584958217270195,5,5,5385,3150,2235,6,10
encoder,2,stemfinal_differ,mlp,0.8883748079877112,0.10765094550066522,0.45636640316205523,0.07936318004658002,0.43200840482565595,0.888081251496528,0.584958217270195,5,5,5385,3150,2235,6,10
encoder,2,all,linear,0.6825298438934801,0.24114059055919032,0.49831772268135904,0.06326042035324192,0.1842121212121211,0.8187329337329338,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,2,all,mlp,0.6455429292929293,0.20209452783612927,0.4901705693296603,0.07698919751162013,0.15537235996326904,0.850950715950716,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,3,stemfinal_same,linear,0.6222660582172436,0.1974807263746856,0.48950246861556035,0.06582675215427705,0.13276358960168322,0.8724783837973554,0.9614931237721022,5,5,38175,1470,36705,7,59
encoder,3,stemfinal_same,mlp,0.6050996261922273,0.1688584162566773,0.5232655890459734,0.1033063466487155,0.08183403714625392,0.8771570540058047,0.9614931237721022,5,5,38175,1470,36705,7,59
encoder,3,stemfinal_differ,linear,0.7733456221198157,0.2140468113997883,0.49505969054257726,0.1531799100624396,0.27828593157723847,0.7660748146425896,0.584958217270195,5,5,5385,3150,2235,6,10
encoder,3,stemfinal_differ,mlp,0.8858003072196621,0.12012967070631271,0.4796863984486392,0.1262482172579419,0.4061139087710229,0.8837841598795142,0.584958217270195,5,5,5385,3150,2235,6,10
encoder,3,all,linear,0.6827881083562902,0.22729373899959107,0.5024719926538109,0.06365815597052914,0.1803161157024793,0.8398851148851149,0.8939393939393939,5,5,43560,4620,38940,7,59
encoder,3,all,mlp,0.654280303030303,0.196123255749467,0.5256235078053261,0.03301096082673525,0.12865679522497697,0.8705244755244756,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,0,stemfinal_same,linear,0.6088491326165678,0.16324960956488505,0.47637608128912223,0.04991118777411011,0.13247305132744558,0.9265696381604824,0.9614931237721022,5,5,38175,1470,36705,7,59
decoder,0,stemfinal_same,mlp,0.6108269891080039,0.16104343891727152,0.5041868158446127,0.061430864924967805,0.10664017326339126,0.9447328398129307,0.9614931237721022,5,5,38175,1470,36705,7,59
decoder,0,stemfinal_differ,linear,0.733298579109063,0.24233324957844188,0.5524798869089567,0.18110111121968744,0.18081869220010638,0.7251956793572247,0.584958217270195,5,5,5385,3150,2235,6,10
decoder,0,stemfinal_differ,mlp,0.8208294930875576,0.16317600359460863,0.4828134861037043,0.1037413733453862,0.3380160069838533,0.8131016042780749,0.584958217270195,5,5,5385,3150,2235,6,10
decoder,0,all,linear,0.6224896694214876,0.17985280554092328,0.5099040404040404,0.0708855059251643,0.11258562901744729,0.8058158508158508,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,0,all,mlp,0.6267584940312213,0.18551478679997627,0.5096767676767676,0.05182704436998052,0.11708172635445369,0.8421361971361971,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,1,stemfinal_same,linear,0.659172425606337,0.1865058061435633,0.4971710814419083,0.09566872417343361,0.16200134416442874,0.9584054251269574,0.9614931237721022,5,5,38175,1470,36705,7,59
decoder,1,stemfinal_same,mlp,0.6517616372889232,0.17322374766507526,0.4861053649366681,0.030823363905690026,0.1656562723522551,0.9518533591344418,0.9614931237721022,5,5,38175,1470,36705,7,59
decoder,1,stemfinal_differ,linear,0.8046054147465437,0.16042225368685117,0.5887666585937676,0.02265930832880606,0.21583875615277603,0.7981279875134134,0.584958217270195,5,5,5385,3150,2235,6,10
decoder,1,stemfinal_differ,mlp,0.9136071428571428,0.073418198421171,0.49995403627380375,0.05357801145954334,0.4136531065833391,0.9115125797039756,0.584958217270195,5,5,5385,3150,2235,6,10
decoder,1,all,linear,0.7175459136822774,0.15067139547597794,0.553669191919192,0.09172960649716506,0.16387672176308543,0.879025974025974,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,1,all,mlp,0.6860640495867769,0.20327717922701183,0.4891209825528007,0.027410515823259585,0.19694306703397624,0.8822027972027972,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,2,stemfinal_same,linear,0.6639954095778112,0.19720383845797126,0.44561263676009155,0.04377190207003206,0.21838277281771967,0.9544892823613467,0.9614931237721022,5,5,38175,1470,36705,7,59
decoder,2,stemfinal_same,mlp,0.6873353336090006,0.17777626772501728,0.4917862101125016,0.07146795929124104,0.19554912349649894,0.9682420255572757,0.9614931237721022,5,5,38175,1470,36705,7,59
decoder,2,stemfinal_differ,linear,0.838605222734255,0.18287838747308424,0.5621081272923375,0.14007684060800524,0.2764970954419175,0.8322935234699941,0.584958217270195,5,5,5385,3150,2235,6,10
decoder,2,stemfinal_differ,mlp,0.8607619047619048,0.18848040131006866,0.5472524500020751,0.10092789835845802,0.3135094547598297,0.8553871462651094,0.584958217270195,5,5,5385,3150,2235,6,10
decoder,2,all,linear,0.714793388429752,0.1787393364675185,0.509269054178145,0.03720085967006837,0.205524334251607,0.8805494505494507,0.8939393939393939,5,5,43560,4620,38940,7,59
decoder,2,all,mlp,0.7251365932047751,0.16878225434770971,0.5423957759412306,0.08032815605217511,0.18274081726354452,0.868916083916084,0.8939393939393939,5,5,43560,4620,38940,7,59
