layer_type,layer_index,subset,property,probe_type,balanced_accuracy,control_balanced_accuracy,selectivity,n_samples
encoder,0,all,stem_final_match,linear,0.561515970071184,0.5005946957839438,0.06092127428724026,43560
encoder,0,all,conjugation,linear,0.36433792470156107,0.3444407713498623,0.019897153351698782,43560
encoder,0,all,l_shaped,linear,0.592209595959596,0.5249853076216712,0.06722428833792482,43560
encoder,0,stemfinal_same,l_shaped,linear,0.5711325207351885,0.47512866447893104,0.09600385625625746,38580
encoder,1,all,stem_final_match,linear,0.5688727389101816,0.5001655060003044,0.06870723290987724,43560
encoder,1,all,conjugation,linear,0.3532415059687787,0.3428853994490358,0.010356106519742891,43560
encoder,1,all,l_shaped,linear,0.5869444444444445,0.525448347107438,0.06149609733700645,43560
encoder,1,stemfinal_same,l_shaped,linear,0.5495095945429045,0.5194169375636525,0.030092656979252008,38580
encoder,2,all,stem_final_match,linear,0.5015437110545762,0.4994911379591117,0.0020525730954644716,43560
encoder,2,all,conjugation,linear,0.3173223140495868,0.35253608815426996,-0.03521377410468318,43560
encoder,2,all,l_shaped,linear,0.5438246097337006,0.48639393939393943,0.05743067033976118,43560
encoder,2,stemfinal_same,l_shaped,linear,0.5095395811787817,0.5156230329781406,-0.006083451799358874,38580
encoder,3,all,stem_final_match,linear,0.48054518251535916,0.4995080678527729,-0.01896288533741375,43560
encoder,3,all,conjugation,linear,0.3032947658402204,0.3892712580348944,-0.08597649219467396,43560
encoder,3,all,l_shaped,linear,0.5546062901744719,0.4525390266299357,0.10206726354453621,43560
encoder,3,stemfinal_same,l_shaped,linear,0.5446483417626474,0.44557771192174994,0.09907062984089748,38580
decoder,0,all,stem_final_match,linear,0.5426133081960826,0.4997489803996105,0.042864327796472035,43560
decoder,0,all,conjugation,linear,0.3429035812672176,0.3501733700642792,-0.007269788797061583,43560
decoder,0,all,l_shaped,linear,0.5770213498622591,0.48052318640955,0.09649816345270906,43560
decoder,0,stemfinal_same,l_shaped,linear,0.5372558391299626,0.4943128502782869,0.042942988851675634,38580
decoder,1,all,stem_final_match,linear,0.6240286739362134,0.4999465111274598,0.12408216280875362,43560
decoder,1,all,conjugation,linear,0.33616804407713496,0.35858089990817266,-0.022412855831037692,43560
decoder,1,all,l_shaped,linear,0.5415323691460054,0.4956315426997245,0.04590082644628096,43560
decoder,1,stemfinal_same,l_shaped,linear,0.5577009530364772,0.5288251659430567,0.028875787093420424,38580
decoder,2,all,stem_final_match,linear,0.6347304446428018,0.5000963059281599,0.13463413871464192,43560
decoder,2,all,conjugation,linear,0.3477768595041323,0.3380861340679523,0.009690725436179992,43560
decoder,2,all,l_shaped,linear,0.5601572543617998,0.49194077134986225,0.0682164830119375,43560
decoder,2,stemfinal_same,l_shaped,linear,0.5235472573858104,0.47220179408168167,0.05134546330412876,38580
decoder,3,all,stem_final_match,linear,0.5799268674660097,0.5000789653779047,0.079847902088105,43560
decoder,3,all,conjugation,linear,0.32420752984389345,0.33364866850321395,-0.009441138659320503,43560
decoder,3,all,l_shaped,linear,0.5427949954086319,0.5034334251606979,0.039361570247933964,43560
decoder,3,stemfinal_same,l_shaped,linear,0.524238615148659,0.5240918819905367,0.00014673315812230303,38580
