layer_type,layer_index,subset,probe_site,property,probe_type,balanced_accuracy,balanced_std,accuracy,std,control_balanced_accuracy,control_balanced_std,selectivity,control_accuracy,control_std,selectivity_raw,control_mode,n_controls,chance,majority_baseline,n_classes,n_samples
encoder,0,all,content-pool,stem_final_match,linear,0.650039,0.136979,0.818894,0.058433,0.500341,0.000531,0.149698,0.874385,0.003506,-0.055491,sample,5,0.500000,0.876377,2,43560
encoder,0,all,content-pool,conjugation,linear,0.464398,0.271846,0.708333,0.114964,0.338492,0.045405,0.125906,0.676281,0.048630,0.032052,group,5,0.333333,0.819444,3,43560
encoder,0,all,content-pool,l_shaped,linear,0.684893,0.228388,0.875390,0.066601,0.472129,0.058149,0.212764,0.767673,0.045291,0.107717,group,5,0.500000,0.893939,2,43560
encoder,1,all,content-pool,stem_final_match,linear,0.674580,0.115115,0.862294,0.046613,0.499910,0.000342,0.174671,0.873726,0.003199,-0.011432,sample,5,0.500000,0.876377,2,43560
encoder,1,all,content-pool,conjugation,linear,0.408145,0.267594,0.706074,0.089971,0.366300,0.072080,0.041845,0.714227,0.049527,-0.008153,group,5,0.333333,0.819444,3,43560
encoder,1,all,content-pool,l_shaped,linear,0.688307,0.228037,0.867231,0.073644,0.525663,0.073213,0.162644,0.784958,0.043782,0.082273,group,5,0.500000,0.893939,2,43560
encoder,2,all,content-pool,stem_final_match,linear,0.643468,0.117079,0.834245,0.071247,0.499993,0.000024,0.143476,0.876143,0.000432,-0.041898,sample,5,0.500000,0.876377,2,43560
encoder,2,all,content-pool,conjugation,linear,0.408351,0.270321,0.707614,0.117332,0.326175,0.053951,0.082175,0.692726,0.027013,0.014888,group,5,0.333333,0.819444,3,43560
encoder,2,all,content-pool,l_shaped,linear,0.703376,0.226427,0.883713,0.064148,0.466396,0.036742,0.236980,0.786962,0.029016,0.096751,group,5,0.500000,0.893939,2,43560
encoder,3,all,content-pool,stem_final_match,linear,0.590778,0.101393,0.800928,0.078531,0.500000,0.000000,0.090778,0.876382,0.000004,-0.075454,sample,5,0.500000,0.876377,2,43560
encoder,3,all,content-pool,conjugation,linear,0.452848,0.254832,0.747887,0.080187,0.315899,0.029741,0.136949,0.695790,0.025497,0.052097,group,5,0.333333,0.819444,3,43560
encoder,3,all,content-pool,l_shaped,linear,0.685112,0.232001,0.863933,0.075631,0.474651,0.052012,0.210461,0.773216,0.032874,0.090717,group,5,0.500000,0.893939,2,43560
decoder,0,all,content-pool,stem_final_match,linear,0.697340,0.093717,0.841849,0.095445,0.499464,0.001133,0.197876,0.871193,0.004384,-0.029345,sample,5,0.500000,0.876377,2,43560
decoder,0,all,content-pool,conjugation,linear,0.441079,0.256192,0.773823,0.088191,0.303323,0.055189,0.137756,0.678609,0.039478,0.095213,group,5,0.333333,0.819444,3,43560
decoder,0,all,content-pool,l_shaped,linear,0.715900,0.231764,0.880007,0.084468,0.538274,0.053716,0.177626,0.842840,0.009508,0.037167,group,5,0.500000,0.893939,2,43560
decoder,1,all,content-pool,stem_final_match,linear,0.619677,0.156608,0.809685,0.070829,0.499734,0.000359,0.119943,0.874583,0.002626,-0.064898,sample,5,0.500000,0.876377,2,43560
decoder,1,all,content-pool,conjugation,linear,0.442098,0.235242,0.736856,0.062394,0.266366,0.014803,0.175731,0.657317,0.034009,0.079539,group,5,0.333333,0.819444,3,43560
decoder,1,all,content-pool,l_shaped,linear,0.672393,0.205783,0.848343,0.094328,0.530546,0.104185,0.141847,0.812498,0.056702,0.035845,group,5,0.500000,0.893939,2,43560
decoder,2,all,content-pool,stem_final_match,linear,0.671595,0.125055,0.834097,0.046990,0.500009,0.000034,0.171585,0.876368,0.000021,-0.042271,sample,5,0.500000,0.876377,2,43560
decoder,2,all,content-pool,conjugation,linear,0.462770,0.250129,0.767924,0.077905,0.326895,0.028521,0.135874,0.705619,0.024400,0.062305,group,5,0.333333,0.819444,3,43560
decoder,2,all,content-pool,l_shaped,linear,0.686096,0.224518,0.858934,0.097440,0.530424,0.064421,0.155672,0.816118,0.049762,0.042817,group,5,0.500000,0.893939,2,43560
decoder,3,all,content-pool,stem_final_match,linear,0.621713,0.140201,0.793322,0.050412,0.499849,0.000259,0.121865,0.874305,0.003777,-0.080983,sample,5,0.500000,0.876377,2,43560
decoder,3,all,content-pool,conjugation,linear,0.447085,0.254703,0.750573,0.118903,0.287219,0.046103,0.159866,0.647588,0.048777,0.102984,group,5,0.333333,0.819444,3,43560
decoder,3,all,content-pool,l_shaped,linear,0.665202,0.198773,0.846184,0.128063,0.507959,0.082806,0.157243,0.793610,0.021817,0.052573,group,5,0.500000,0.893939,2,43560
