layer_type,layer_index,mood_bal_acc,p_sbjv_1sgind_L,p_sbjv_1sgind_NL,frac_sbjv_1sgind_L,frac_sbjv_1sgind_NL,n_1sgind_L,n_1sgind_NL,lshaped_nonar,lshaped_nonar_control,lshaped_nonar_selectivity,n_nonar,n_nonar_L_lemmas,n_nonar_NL_lemmas
encoder,3,0.904931129476584,0.8100600933264289,0.8126265319327517,0.825974025974026,0.8465331278890601,385,3245,0.8494696969696969,0.5595151515151515,0.28995454545454535,9240,7,7
decoder,1,0.903870523415978,0.26928825346136465,0.08331853160109032,0.2701298701298701,0.07580893682588598,385,3245,0.7483333333333333,0.5857575757575757,0.1625757575757576,9240,7,7
decoder,2,0.9258080808080809,0.40594035128247,0.36276109600582807,0.37402597402597404,0.3562403697996918,385,3245,0.6829545454545454,0.4321515151515151,0.25080303030303025,9240,7,7
