layer_type,layer_index,subset,probe_site,property,probe_type,balanced_accuracy,balanced_std,accuracy,std,control_balanced_accuracy,control_balanced_std,selectivity,control_accuracy,control_std,selectivity_raw,control_mode,n_controls,chance,majority_baseline,n_classes,n_samples
encoder,0,all,content-pool,stem_final_match,linear,0.667453,0.085799,0.858454,0.026714,0.499921,0.000215,0.167532,0.874519,0.003675,-0.016065,sample,5,0.500000,0.876377,2,43560
encoder,0,all,content-pool,conjugation,linear,0.477454,0.264226,0.727967,0.124325,0.359320,0.069927,0.118135,0.678067,0.046780,0.049900,group,5,0.333333,0.819444,3,43560
encoder,0,all,content-pool,l_shaped,linear,0.660916,0.239658,0.853603,0.076167,0.480422,0.066997,0.180494,0.766938,0.054327,0.086665,group,5,0.500000,0.893939,2,43560
encoder,1,all,content-pool,stem_final_match,linear,0.644405,0.106040,0.815966,0.041293,0.499316,0.000757,0.145089,0.866038,0.007860,-0.050072,sample,5,0.500000,0.876377,2,43560
encoder,1,all,content-pool,conjugation,linear,0.466113,0.256222,0.727246,0.114513,0.366624,0.066776,0.099489,0.698052,0.040487,0.029194,group,5,0.333333,0.819444,3,43560
encoder,1,all,content-pool,l_shaped,linear,0.684380,0.242097,0.870203,0.079262,0.529199,0.064782,0.155181,0.792784,0.045542,0.077419,group,5,0.500000,0.893939,2,43560
encoder,2,all,content-pool,stem_final_match,linear,0.669300,0.110352,0.855531,0.033893,0.500118,0.000235,0.169181,0.875653,0.001387,-0.020122,sample,5,0.500000,0.876377,2,43560
encoder,2,all,content-pool,conjugation,linear,0.423621,0.251046,0.733124,0.105064,0.301228,0.025824,0.122394,0.674107,0.023632,0.059017,group,5,0.333333,0.819444,3,43560
encoder,2,all,content-pool,l_shaped,linear,0.682370,0.243873,0.881690,0.072025,0.450929,0.034306,0.231441,0.768611,0.033187,0.113079,group,5,0.500000,0.893939,2,43560
encoder,3,all,content-pool,stem_final_match,linear,0.672740,0.128250,0.834070,0.029422,0.499976,0.000048,0.172765,0.875855,0.001056,-0.041785,sample,5,0.500000,0.876377,2,43560
encoder,3,all,content-pool,conjugation,linear,0.416590,0.248827,0.724908,0.096647,0.351615,0.054453,0.064975,0.702526,0.044382,0.022383,group,5,0.333333,0.819444,3,43560
encoder,3,all,content-pool,l_shaped,linear,0.686578,0.231415,0.873115,0.069973,0.485315,0.050504,0.201264,0.783746,0.049673,0.089369,group,5,0.500000,0.893939,2,43560
decoder,0,all,content-pool,stem_final_match,linear,0.665333,0.185526,0.784221,0.077152,0.499975,0.000049,0.165358,0.876336,0.000090,-0.092115,sample,5,0.500000,0.876377,2,43560
decoder,0,all,content-pool,conjugation,linear,0.376895,0.221323,0.675548,0.093590,0.291497,0.037374,0.085398,0.670958,0.039123,0.004589,group,5,0.333333,0.819444,3,43560
decoder,0,all,content-pool,l_shaped,linear,0.650080,0.253724,0.826217,0.097361,0.535812,0.074670,0.114268,0.820086,0.027129,0.006131,group,5,0.500000,0.893939,2,43560
decoder,1,all,content-pool,stem_final_match,linear,0.711985,0.061537,0.842221,0.073076,0.500035,0.000116,0.211950,0.874331,0.003237,-0.032110,sample,5,0.500000,0.876377,2,43560
decoder,1,all,content-pool,conjugation,linear,0.393096,0.273495,0.677179,0.121435,0.307902,0.041943,0.085194,0.678323,0.018431,-0.001144,group,5,0.333333,0.819444,3,43560
decoder,1,all,content-pool,l_shaped,linear,0.707756,0.227672,0.857637,0.076153,0.534048,0.090689,0.173708,0.804473,0.047790,0.053164,group,5,0.500000,0.893939,2,43560
decoder,2,all,content-pool,stem_final_match,linear,0.655001,0.121717,0.765886,0.067300,0.499914,0.000086,0.155087,0.875874,0.000602,-0.109988,sample,5,0.500000,0.876377,2,43560
decoder,2,all,content-pool,conjugation,linear,0.404662,0.286189,0.699770,0.146250,0.347563,0.037553,0.057099,0.707876,0.020733,-0.008106,group,5,0.333333,0.819444,3,43560
decoder,2,all,content-pool,l_shaped,linear,0.697283,0.232661,0.855240,0.088194,0.623221,0.122166,0.074062,0.823283,0.050375,0.031957,group,5,0.500000,0.893939,2,43560
decoder,3,all,content-pool,stem_final_match,linear,0.683222,0.071297,0.824056,0.062075,0.499963,0.000075,0.183259,0.876311,0.000127,-0.052255,sample,5,0.500000,0.876377,2,43560
decoder,3,all,content-pool,conjugation,linear,0.391806,0.258202,0.694515,0.130633,0.320163,0.049481,0.071643,0.699379,0.035637,-0.004863,group,5,0.333333,0.819444,3,43560
decoder,3,all,content-pool,l_shaped,linear,0.698059,0.237395,0.850471,0.097279,0.505334,0.071573,0.192725,0.816874,0.036909,0.033597,group,5,0.500000,0.893939,2,43560
