layer_type,layer_index,subset,probe_site,property,probe_type,balanced_accuracy,balanced_std,accuracy,std,control_balanced_accuracy,control_balanced_std,selectivity,control_accuracy,control_std,selectivity_raw,control_mode,n_controls,chance,majority_baseline,n_classes,n_samples
encoder,0,all,content-pool,stem_final_match,linear,0.653827,0.111288,0.808719,0.079806,0.499694,0.000417,0.154132,0.873666,0.004696,-0.064947,sample,5,0.500000,0.876377,2,43560
encoder,0,all,content-pool,conjugation,linear,0.472873,0.259668,0.720979,0.094267,0.360165,0.067550,0.112708,0.678704,0.043838,0.042275,group,5,0.333333,0.819444,3,43560
encoder,0,all,content-pool,l_shaped,linear,0.622082,0.209712,0.837509,0.095355,0.478171,0.062119,0.143911,0.762571,0.040948,0.074938,group,5,0.500000,0.893939,2,43560
encoder,1,all,content-pool,stem_final_match,linear,0.629305,0.146574,0.805340,0.038979,0.499956,0.000084,0.129349,0.874645,0.003317,-0.069305,sample,5,0.500000,0.876377,2,43560
encoder,1,all,content-pool,conjugation,linear,0.477940,0.271747,0.740240,0.114621,0.382167,0.068257,0.095772,0.714587,0.048833,0.025652,group,5,0.333333,0.819444,3,43560
encoder,1,all,content-pool,l_shaped,linear,0.645310,0.224125,0.846484,0.087786,0.522731,0.081294,0.122579,0.780366,0.067985,0.066117,group,5,0.500000,0.893939,2,43560
encoder,2,all,content-pool,stem_final_match,linear,0.624231,0.147980,0.803509,0.039489,0.499988,0.000016,0.124243,0.876359,0.000027,-0.072850,sample,5,0.500000,0.876377,2,43560
encoder,2,all,content-pool,conjugation,linear,0.464087,0.259557,0.724336,0.092905,0.306760,0.029929,0.157326,0.675697,0.023515,0.048639,group,5,0.333333,0.819444,3,43560
encoder,2,all,content-pool,l_shaped,linear,0.639745,0.233475,0.831797,0.090374,0.460730,0.047256,0.179015,0.776120,0.040973,0.055677,group,5,0.500000,0.893939,2,43560
encoder,3,all,content-pool,stem_final_match,linear,0.665929,0.134387,0.842573,0.039797,0.499979,0.000078,0.165951,0.875599,0.001071,-0.033025,sample,5,0.500000,0.876377,2,43560
encoder,3,all,content-pool,conjugation,linear,0.449373,0.274401,0.741910,0.123177,0.344914,0.060813,0.104459,0.705779,0.039749,0.036131,group,5,0.333333,0.819444,3,43560
encoder,3,all,content-pool,l_shaped,linear,0.661174,0.237084,0.852351,0.076377,0.494679,0.053101,0.166495,0.778504,0.060070,0.073847,group,5,0.500000,0.893939,2,43560
decoder,0,all,content-pool,stem_final_match,linear,0.622252,0.113347,0.812796,0.060476,0.500022,0.000190,0.122231,0.875737,0.000867,-0.062941,sample,5,0.500000,0.876377,2,43560
decoder,0,all,content-pool,conjugation,linear,0.418478,0.281051,0.724620,0.146201,0.308252,0.054218,0.110227,0.679726,0.038952,0.044894,group,5,0.333333,0.819444,3,43560
decoder,0,all,content-pool,l_shaped,linear,0.689532,0.238260,0.846084,0.093954,0.494348,0.049728,0.195184,0.813721,0.030802,0.032363,group,5,0.500000,0.893939,2,43560
decoder,1,all,content-pool,stem_final_match,linear,0.646780,0.084022,0.822510,0.074930,0.500035,0.000058,0.146745,0.875418,0.001402,-0.052909,sample,5,0.500000,0.876377,2,43560
decoder,1,all,content-pool,conjugation,linear,0.353133,0.182662,0.695368,0.137545,0.313341,0.050659,0.039793,0.691562,0.032482,0.003806,group,5,0.333333,0.819444,3,43560
decoder,1,all,content-pool,l_shaped,linear,0.727220,0.204239,0.844179,0.109810,0.540751,0.100188,0.186469,0.798011,0.058585,0.046168,group,5,0.500000,0.893939,2,43560
decoder,2,all,content-pool,stem_final_match,linear,0.640416,0.104101,0.818325,0.039600,0.499982,0.000101,0.140433,0.876234,0.000134,-0.057909,sample,5,0.500000,0.876377,2,43560
decoder,2,all,content-pool,conjugation,linear,0.373061,0.176052,0.713695,0.147245,0.341282,0.050933,0.031779,0.708161,0.026392,0.005533,group,5,0.333333,0.819444,3,43560
decoder,2,all,content-pool,l_shaped,linear,0.750119,0.179080,0.846822,0.105206,0.579048,0.104438,0.171071,0.810216,0.039138,0.036606,group,5,0.500000,0.893939,2,43560
decoder,3,all,content-pool,stem_final_match,linear,0.631187,0.135632,0.821212,0.029784,0.499990,0.000019,0.131198,0.876250,0.000098,-0.055038,sample,5,0.500000,0.876377,2,43560
decoder,3,all,content-pool,conjugation,linear,0.382185,0.196164,0.712288,0.141554,0.327846,0.053561,0.054339,0.696676,0.026204,0.015611,group,5,0.333333,0.819444,3,43560
decoder,3,all,content-pool,l_shaped,linear,0.680127,0.218672,0.839076,0.122080,0.508297,0.061605,0.171831,0.815924,0.025912,0.023152,group,5,0.500000,0.893939,2,43560
