layer_type,layer_index,frac_classified_L,mean_p_L,n_items
encoder,0,0.9416666666666667,0.9391069696075732,120
encoder,1,0.6583333333333333,0.6361688574683754,120
encoder,2,0.4666666666666667,0.4679367038897233,120
encoder,3,0.35833333333333334,0.3648487405515784,120
decoder,0,0.125,0.11731271422033765,120
decoder,1,0.11666666666666667,0.11384259188439451,120
decoder,2,0.16666666666666666,0.16488674610605342,120
decoder,3,0.11666666666666667,0.12404692089790745,120
