layer_type,layer_index,frac_classified_L,mean_p_L,n_items
encoder,0,0.5333333333333333,0.5331627984014037,120
encoder,1,0.31666666666666665,0.31523891208455623,120
encoder,2,0.26666666666666666,0.2725282288113523,120
encoder,3,0.45,0.4472623112404761,120
decoder,0,0.24166666666666667,0.23208265783121435,120
decoder,1,0.25,0.2661093985657035,120
decoder,2,0.24166666666666667,0.25548313830317715,120
decoder,3,0.31666666666666665,0.33291421285831935,120
