layer_type,layer_index,frac_classified_L,mean_p_L,n_items
encoder,0,0.0,4.592585571098577e-13,120
encoder,1,0.0,0.000875904271716435,120
encoder,2,0.0,6.993182917774953e-07,120
encoder,3,0.008333333333333333,0.007054281511309279,120
decoder,0,0.0,2.219605501128837e-05,120
decoder,1,0.05,0.055851307937567346,120
decoder,2,0.24166666666666667,0.23927964491387488,120
decoder,3,0.21666666666666667,0.23388998733473257,120
