layer_type,layer_index,direction,balanced_accuracy,control_balanced_accuracy,selectivity,n_controls
encoder,0,differ->same,0.3853264754819159,0.5453480102409647,-0.1600215347590488,5
encoder,0,same->differ,0.4862944718117132,0.5643336427034794,-0.07803917089176621,5
encoder,1,differ->same,0.32883313194194025,0.5157206742057792,-0.1868875422638389,5
encoder,1,same->differ,0.4645851903979983,0.5195024158646305,-0.05491722546663225,5
encoder,2,differ->same,0.396276473478546,0.4701224200162275,-0.0738459465376815,5
encoder,2,same->differ,0.4800187661271405,0.6434855594608261,-0.16346679333368558,5
encoder,3,differ->same,0.43577111815453784,0.475540359269148,-0.039769241114610165,5
encoder,3,same->differ,0.4846149034326374,0.6394959460129528,-0.15488104258031538,5
decoder,0,differ->same,0.5351175978118983,0.4813929308844137,0.053724666927484566,5
decoder,0,same->differ,0.6166611932129173,0.6878629323198933,-0.07120173910697591,5
decoder,1,differ->same,0.6037269006180923,0.49462323466877095,0.10910366594932136,5
decoder,1,same->differ,0.607608100711549,0.6665700121681933,-0.05896191145664431,5
decoder,2,differ->same,0.5159396542816233,0.49739702066300795,0.0185426336186153,5
decoder,2,same->differ,0.5322636640863242,0.6101066618356648,-0.07784299774934056,5
decoder,3,differ->same,0.3943599865879659,0.4442656207843568,-0.04990563419639088,5
decoder,3,same->differ,0.534263820470717,0.6850613712759087,-0.15079755080519175,5
