layer_type,layer_index,direction,balanced_accuracy,control_balanced_accuracy,selectivity,n_controls
encoder,0,differ->same,0.7115040183072829,0.40516433843523253,0.3063396798720504,5
encoder,0,same->differ,0.8036507936507937,0.6163871633738716,0.18726363027692217,5
encoder,1,differ->same,0.72753498522861,0.4446590352041871,0.28287595002442295,5
encoder,1,same->differ,0.7458730158730159,0.4622909474566315,0.2835820684163844,5
encoder,2,differ->same,0.6655383607697973,0.45596396919009174,0.2095743915797056,5
encoder,2,same->differ,0.7852380952380953,0.7596279836944689,0.025610111543626357,5
encoder,3,differ->same,0.6796191508964753,0.5122937610146915,0.1673253898817838,5
encoder,3,same->differ,0.7203174603174604,0.5592483003773212,0.16106915994013915,5
decoder,0,differ->same,0.660659725336399,0.5195764762421653,0.14108324909423375,5
decoder,0,same->differ,0.633389656938044,0.4055909308839187,0.22779872605412538,5
decoder,1,differ->same,0.6944220676684577,0.47940701026436877,0.21501505740408894,5
decoder,1,same->differ,0.7676958525345623,0.4727284046750099,0.2949674478595524,5
decoder,2,differ->same,0.6942861763163115,0.47580027761278393,0.21848589870352758,5
decoder,2,same->differ,0.7965028161802356,0.5666904943126845,0.22981232186755107,5
decoder,3,differ->same,0.694103402447675,0.4811206520869112,0.2129827503607638,5
decoder,3,same->differ,0.7633333333333333,0.5872270228435723,0.176106310489761,5
