layer_type,layer_index,direction,balanced_accuracy,control_balanced_accuracy,selectivity,n_controls
encoder,0,differ->same,0.4497921767351819,0.5374227621632119,-0.08763058542803004,5
encoder,0,same->differ,0.5164203612479474,0.5656079500311504,-0.04918758878320295,5
encoder,1,differ->same,0.44274769559743654,0.5062754323526597,-0.06352773675522316,5
encoder,1,same->differ,0.5512628039721637,0.46145881140723144,0.08980399256493221,5
encoder,2,differ->same,0.41870852233546535,0.47310160451925476,-0.05439308218378941,5
encoder,2,same->differ,0.5248275862068965,0.6139211408721377,-0.08909355466524116,5
encoder,3,differ->same,0.5957817465589486,0.4815574709445761,0.11422427561437243,5
encoder,3,same->differ,0.6211916490734225,0.6504945297239872,-0.029302880650564744,5
decoder,0,differ->same,0.8394625907579275,0.4829159155132773,0.3565466752446502,5
decoder,0,same->differ,0.8262585034013605,0.6567102942694908,0.16954820913186974,5
decoder,1,differ->same,0.8061667942496958,0.501423337376017,0.3047434568736789,5
decoder,1,same->differ,0.7706263194933145,0.6754738965348884,0.09515242295842608,5
decoder,2,differ->same,0.7505446002855329,0.4841353894791414,0.2664092108063915,5
decoder,2,same->differ,0.7540136054421769,0.5375248362376877,0.21648876920448923,5
decoder,3,differ->same,0.5353008534355685,0.44972790689702585,0.0855729465385427,5
decoder,3,same->differ,0.6414606302291032,0.708223515359847,-0.0667628851307438,5
