layer_type,layer_index,direction,balanced_accuracy,control_balanced_accuracy,selectivity,n_controls
encoder,0,differ->same,0.43291563458239857,0.49738730757210176,-0.06447167298970319,5
encoder,0,same->differ,0.6497453925641845,0.5419887992684072,0.10775659329577736,5
encoder,1,differ->same,0.4652545529858858,0.4451634061339781,0.020091146851907715,5
encoder,1,same->differ,0.6280100138489401,0.5024940126450147,0.12551600120392536,5
encoder,2,differ->same,0.4581735513984916,0.5205931223590063,-0.06241957096051476,5
encoder,2,same->differ,0.6439203153297113,0.4967918775815908,0.14712843774812046,5
encoder,3,differ->same,0.4552101837874504,0.45990471768341235,-0.004694533895961972,5
encoder,3,same->differ,0.6448449984020455,0.5268592408309856,0.11798575757105989,5
decoder,0,differ->same,0.43910299714491435,0.5565044043736354,-0.117401407228721,5
decoder,0,same->differ,0.6062746351336956,0.6653762672959398,-0.05910163216224418,5
decoder,1,differ->same,0.44545869021903817,0.545966316846919,-0.10050762662788082,5
decoder,1,same->differ,0.6145829338446788,0.7485182234592642,-0.13393528961458545,5
decoder,2,differ->same,0.5653907742091524,0.4561254307258895,0.10926534348326289,5
decoder,2,same->differ,0.6398998615105997,0.4651872510707413,0.17471261043985842,5
decoder,3,differ->same,0.5675283354044519,0.4961850957792997,0.07134323962515221,5
decoder,3,same->differ,0.6634132310642378,0.5986579802767886,0.06475525078744915,5
